Unnamed: 0	t_score_TCvsB6	p-value	log2FC_TCvsB6
Muc20	7.39629	0.000891645	1.531717245
Tmc3	6.17527	0.00090305	1.203369753
Dhdh	11.2381	0.000910664	2.004496641
Gm19684	6.42988	0.000915872	1.13300168
Megf8	6.49817	0.000918272	1.227233696
Ighv1-2	-6.51093	0.000923312	-5.186919999
Gcat	-6.05609	0.000925447	-1.079840001
Grik5	-8.54804	0.000928438	-1.17014
Gm5432	7.38178	0.000938228	1.109200368
Arl5a	7.72123	0.000940394	1.37300797
Dusp4	6.08397	0.000964057	1.49377204
Gm5620	-5.98514	0.000977163	-1.17807
Olfr599	6.14749	0.000981245	1.180878063
4933439K11Rik	7.3761	0.000983707	1.15279821
Gzma	6.95239	0.000989503	2.346401665
Mier3	-6.27583	0.000990839	-1.32976
Gm498	6.00727	0.000991784	1.079954103
Cd109	5.96684	0.00101079	2.460105183
Gm13767	8.2595	0.00101692	1.578560987
Irf6	-6.27207	0.00103301	-1.23089
Gm14466	6.08048	0.00103804	1.911440113
1700047I17Rik2	-5.89091	0.00106352	-1.44385
Dmpk	5.88899	0.00106562	1.163837793
Olfr373	6.63459	0.0010852	2.175082315
Trpm6	7.03194	0.00111147	1.821680562
Pak6	5.83225	0.0011198	1.14070046
Eps8l1	-12.2224	0.00115274	-3.616989999
Noxo1	5.81503	0.00115283	1.151209179
Gm4665	6.09049	0.0011564	1.242581086
Gm7741	5.92028	0.00115769	1.146932112
Gca	5.94584	0.00119209	1.583777862
Igkv4-59	-6.17754	0.00124816	-14.08539998
Cpt1c	23.8463	0.00125518	3.043033044
Chrnb1	6.97425	0.00128092	1.095356126
Slc2a4rg-ps	6.06195	0.00129262	1.45719101
Gm24747	5.867	0.00129959	1.263565104
2310016G11Rik	5.69224	0.00131445	1.098976091
Trps1	5.74075	0.00131691	1.187584361
Bub1b	-5.8558	0.00131821	-1.73876
Igkv4-72	-5.78092	0.00133083	-13.63119995
Gm1972	-6.20606	0.001337	-1.197510001
Igkv5-39	-5.97717	0.00133883	-22.85630018
Ak2	-5.7835	0.00134194	-1.18126
Gm14359	-5.98565	0.0013504	-1.206779999
Zfp14	6.27792	0.00138253	1.418670944
Saal1	-5.59211	0.0013916	-1.19182
Igkv4-54	-5.55022	0.00147465	-11.18939999
Hsd17b7	5.91444	0.00149462	1.328971347
LOC100503338	5.56026	0.0014967	1.244675789
Cx3cr1	5.58064	0.00150066	1.432534615
Gm13232	-6.08384	0.00150608	-1.264739999
Gm26567	-5.77576	0.00153122	-1.2954
Akr1c13	5.78263	0.00155911	1.275939567
Ighv8-4	-6.40409	0.00156713	-1.43985
2410018L13Rik	6.66248	0.00161628	1.292980036
Prkcz	5.61384	0.00163412	1.085206805
Foxj1	6.29468	0.00167287	1.298827648
Gm11824	-5.79828	0.00167557	-1.11661
Lamb3	-6.3122	0.00167988	-1.28199
Gm25643	5.41433	0.00168752	1.22164914
Arid5b	6.41297	0.00174215	1.157482194
Sec16b	-5.51858	0.00174523	-1.157630001
Igkv4-57	-5.88028	0.00177155	-12.73579999
Rad51b	-5.32653	0.00178498	-1.21545
Arl6ip1	-5.93106	0.00178697	-1.172450001
Jak3	5.91936	0.00179505	1.290991946
Gm12963	5.32029	0.00180865	1.118038602
Vmn2r46	-7.56973	0.00181169	-1.27628
Ltk	5.33275	0.0018206	1.254097922
Rars	-5.53335	0.00182662	-1.20613
Gm13733	5.43638	0.00183077	1.108339602
Nnt	5.68408	0.00184207	1.327194672
Slamf1	-5.38479	0.00186404	-1.318679999
Spata13	5.27944	0.00186822	1.127080061
Pepd	6.37517	0.00187016	1.152846154
Desi2	-6.47573	0.0018796	-1.38852
Padi4	5.28804	0.00189214	1.836819674
Spint1	5.54623	0.00189866	1.364043828
A930007I19Rik	5.26995	0.00191313	1.095621893
Scimp	5.32312	0.0019398	1.314541784
Olfr372	5.62137	0.00194689	2.489955571
Zdhhc21	5.50766	0.00195469	1.160864833
Phlpp1	6.11503	0.00195719	1.210245727
Camk1	5.22955	0.00196277	1.132114596
Arhgap24	5.61137	0.00198488	1.140890238
St3gal3	-5.75751	0.00198986	-1.23658
Leprel1	5.23652	0.00199707	1.295159699
Fabp3	5.21832	0.0020001	1.33715805
Rab4a	5.22985	0.00200705	1.79336606
3110053B16Rik	5.23984	0.00201628	1.137408113
Cacna1d	5.20308	0.00203305	1.373645755
Sbsn	-5.26941	0.00203851	-1.391389999
Gramd1a	5.26112	0.00204767	1.562363337
5830416I19Rik	-6.38575	0.00205433	-2.182910002
F2rl2	-5.5992	0.00207786	-1.396919999
Cyr61	5.20924	0.00207895	1.138875466
Gm15162	5.21715	0.00208524	1.14851524
Ddc	-7.67122	0.00208674	-1.487530001
Blmh	-5.86916	0.00208723	-1.08884
Nlrp1b	-5.5169	0.00208795	-1.17535
Maged1	6.39644	0.00208942	1.277178348
Pgm1	-5.17081	0.00210745	-1.20843
5730507C01Rik	6.21267	0.00212199	1.25302917
Qpctl	-5.16863	0.00212599	-1.482930001
Gm18191	-5.26219	0.00219407	-1.326200001
4930433N12Rik	5.19122	0.00219826	1.211462712
Ppt2	5.38916	0.0022021	1.118162603
Rpl31-ps23	-7.94659	0.00220828	-1.979810001
Casc5	-5.21749	0.0022276	-1.495540001
Gm26715	6.39214	0.0022353	1.304502763
Zfp82	-5.09463	0.0022385	-1.3074
Gm2762	5.86869	0.00226188	1.278223397
Ccnb1	-6.57298	0.0022715	-1.52621
Gm16531	-5.81933	0.00229299	-1.218729999
Gm13768	5.04254	0.00235278	1.317205097
Mlh3	-5.18303	0.00235587	-1.13725
Mir22	5.63552	0.00236976	1.142575896
Gm5560	-5.60667	0.00238119	-1.160950001
Gm23674	5.1362	0.0023825	1.372199266
Ppap2a	-5.98314	0.00240115	-1.34897
Alms1-ps1	5.37477	0.0024207	1.378443371
Gm15643	5.03617	0.00242237	1.455374058
Arl6ip4	-5.01484	0.00243821	-1.10289
Zgrf1	-5.01954	0.00244134	-1.09497
Olr1	5.37134	0.00244544	1.28397757
Rrm1	-5.98794	0.00246772	-1.257570001
LOC100048813	6.28087	0.0024833	1.409809273
Fam71b	6.28622	0.00252382	1.607902581
Tead1	5.62988	0.00252449	1.53378897
6530437J22Rik	4.97076	0.00253001	1.370402796
Mir692-1	-5.01616	0.00254639	-1.340039999
Mpg	-5.21201	0.00255453	-1.26918
Maml3	4.97649	0.0025623	1.139846853
Cistr-act	4.94175	0.002607	1.113491079
Fanci	-5.78589	0.00260783	-1.22583
1700052I22Rik	6.79874	0.00260926	1.282847786
Alms1	5.10303	0.00261775	1.278524671
Cmss1	6.33507	0.00262765	1.311538356
Cmc1	-5.47614	0.00265521	-1.10978
Cyp4f18	5.77909	0.00267367	2.629557419
Gm8202	-6.66087	0.0026778	-1.43133
Gm5976	5.94841	0.0026782	1.198940447
H2-Q2	-5.98479	0.00269114	-1.261689999
Liph	5.56405	0.00269472	1.333649909
Prss12	5.83574	0.00271412	1.274313283
Gm9312	5.89593	0.00271635	1.237853001
Rab3gap2	-4.93187	0.00272369	-1.221650001
Rnf112	5.06509	0.00275353	1.121648004
5031414D18Rik	4.98661	0.00277528	1.227846319
Fmn1	6.29852	0.00279525	1.391026592
Atn1	6.60251	0.0028132	1.144200595
1700047I17Rik2	-4.86312	0.00281694	-1.381229999
Gm19897	-5.4681	0.00282764	-1.601009999
Btbd18	5.01024	0.00283139	1.12413866
S1pr3	5.33557	0.00283256	1.31515241
Rbm45	-6.31645	0.00286533	-1.417380001
Zfp180	-4.96023	0.00286616	-1.354779999
Ttk	-4.88457	0.00287748	-1.41753
Catsperg2	5.04779	0.0028892	1.186580517
Rif1	-4.87803	0.00289749	-1.364669999
Wdr53	-4.86759	0.00290304	-1.1019
Lbr	-4.9488	0.00291976	-1.2506
Gm18953	5.52381	0.0029212	1.637812269
Gm10101	6.40193	0.0029393	1.387079041
Gm5187	4.90363	0.00295316	1.21079112
Gm3993	4.80671	0.00298035	1.214834681
Ccr6	-5.20902	0.00303853	-1.4353
Gm25430	4.84046	0.00304219	1.182688383
Irf3	-6.25042	0.003047	-1.273200001
Igf2	5.51618	0.00306648	1.116605835
Nsun2	-5.14926	0.00308266	-1.17944
Rdx	-5.26753	0.00310111	-1.08311
Gm19299	5.32891	0.00310763	1.134919523
Gal3st1	4.82762	0.00311388	1.127603609
Cyp51	-4.76281	0.00312145	-1.24535
Apol7a	4.98012	0.00312333	1.123141735
C630016N16Rik	-7.29964	0.00315431	-1.22967
4931440F15Rik	4.85635	0.00316742	1.282269935
Isoc2b	5.98019	0.00317273	1.269851681
Gm13624	-4.73835	0.00319827	-1.1671
Irf2	5.56005	0.00320694	1.178898899
BC030500	6.81444	0.00320719	1.176947526
Gigyf1	4.73629	0.00321332	1.107172489
Ntf5	5.17127	0.00321556	1.330003461
Sgms1	-4.85676	0.00322574	-1.071959999
Calm3	-4.75015	0.00323443	-1.25777
Trpm1	4.83064	0.00323765	1.104022826
Ldha	-6.8367	0.00324143	-1.419320001
Gm5848	5.30473	0.003243	1.204120688
Igkv4-69	-6.52225	0.00326871	-19.36040014
Pstpip2	6.09115	0.00328137	1.603695236
Nuf2	-6.31896	0.00329067	-1.498209999
Cep85	7.55041	0.00330954	1.066785411
Gm12572	10.7069	0.0033429	1.559820481
Apbb2	5.29946	0.00334624	1.212622082
Gm6910	5.52845	0.00335315	1.344267264
Fxyd5	6.63238	0.00337155	1.126392787
Lyplal1	5.73595	0.00337647	1.797659772
Lgmn	5.81933	0.00339903	2.081134202
Gm23741	4.67821	0.00340236	1.285838988
Gm13237	-5.10967	0.00340945	-1.24584
1110034G24Rik	4.68122	0.00342656	1.119527526
Flrt2	4.66706	0.00344527	1.385551177
Gm14794	-4.82223	0.00344849	-1.1481
Qsox1	-5.03635	0.003463	-1.14469
Rnu3b4	4.80712	0.00347292	1.256194624
LOC435333	-6.65117	0.00348562	-11.77679996
Gm18200	-5.71632	0.00348972	-1.346879999
Gm18199	-5.71632	0.00348972	-1.346879999
Kirrel3	5.83768	0.00350998	1.356472688
Wnt5b	4.65241	0.00351192	1.136927296
Ighv1-73	-6.37598	0.00354027	-3.933649993
Tob2	4.65608	0.00354507	1.220819575
Dip2c	5.16744	0.00356392	1.134282502
2810047C21Rik1	-5.25982	0.00357526	-1.320830001
Rasgrp4	-4.64596	0.00360477	-1.18523
Pttg1	-5.30741	0.00360838	-1.565499999
Trav13n-4	5.20139	0.00362047	1.131220367
Igkv4-62	-4.97091	0.00363012	-11.15640002
4933430M04Rik	4.91564	0.00365187	1.117426547
Gm8343	4.96374	0.00365882	1.103617317
Zfp712	-4.74292	0.00366015	-1.266660001
Slc43a3	-5.28818	0.00368315	-1.306850001
Phgdh	-4.63473	0.00368689	-1.159629999
Plekha2	-4.89816	0.00369115	-1.15218
Fbxo5	-6.72984	0.0037024	-1.24409
Impg1	4.60286	0.00370425	1.104841947
Fancd2	-4.66659	0.00371426	-1.25178
Fzd4	4.92727	0.00372275	1.315380328
Polr1b	-5.06604	0.0037332	-1.220870001
Gm21082	5.99998	0.00373893	1.088514028
Kmt2a	4.73873	0.00375621	1.122729204
Gm13097	4.69547	0.0037585	1.108255099
Zc3h7b	5.092	0.00376987	1.124941516
9630013D21Rik	-4.58371	0.00378016	-1.24505
Gm13424	5.49879	0.00378021	1.114749846
Igkv4-70	-5.61171	0.00378696	-5.582830006
Cdc26	-4.57881	0.00379609	-1.23843
Igkv4-50	-6.19572	0.00383048	-7.526250017
Dpysl3	5.289	0.00385877	1.305506825
Igkv4-61	-4.72911	0.00386156	-10.89979996
Gm22987	4.56427	0.00386817	1.233023247
Six5	6.70825	0.00386818	1.297945674
9930022D16Rik	4.58239	0.003869	1.219677729
Tex35	15.638	0.00387784	3.998309078
Mfhas1	4.8063	0.00388789	1.210203783
Hps5	-4.79983	0.00389183	-1.20073
Gm19980	4.59627	0.003916	1.500423745
Gm16297	4.92436	0.00392974	1.253063911
Ska2	-4.57126	0.00394328	-1.15699
Tshz3	4.5858	0.00394758	1.243201371
Rpl31-ps20	-4.72062	0.00394838	-1.04066
A730063M14Rik	4.76186	0.00395904	1.161307475
Gm25969	4.62315	0.00397516	1.443699017
Spatc1l	5.08067	0.00397562	1.114989404
Krt42	5.44321	0.00398043	1.105500747
Napb	4.55235	0.00398535	1.147369442
Gm10433	4.69921	0.00399157	1.2023609
Sfi1	4.63698	0.00401541	1.272671428
Traj61	-4.69205	0.00403392	-1.543550001
Abcb1a	-4.51985	0.00404953	-1.308779999
Stt3b	-4.96683	0.00405802	-1.18505
Vmn2r-ps45	-4.89666	0.00405972	-1.26676
Rpl19-ps12	-4.52413	0.00406259	-1.067760001
Slc43a1	-4.51322	0.00406354	-1.885949999
Mast4	4.51242	0.00406898	1.161935511
Arhgap40	4.70016	0.00409105	1.215997279
Gm6025	4.71631	0.00409248	1.33427866
Setbp1	4.69054	0.00409567	1.199530632
Srp54c	-4.95666	0.00412506	-1.43723
Ghsr	4.60135	0.00415216	1.140028586
Gm4812	5.9044	0.00416208	1.220227373
Hsf4	4.487	0.00417706	1.104765368
Olfr899	4.59378	0.00418864	1.198209353
Gfi1b	4.95735	0.00420571	1.082517239
Clec4a1	5.03419	0.00423324	1.106589393
Pcsk1	-4.61677	0.00423937	-1.886090002
Gm14469	4.74673	0.00426526	1.942493808
Tbc1d4	4.69104	0.00428655	1.181836122
Heatr5a	5.97901	0.0042904	1.350524676
Kpna2	-4.9287	0.00429632	-1.204650001
Gm11447	4.47539	0.00429724	1.146645951
Grpr	4.45882	0.00431438	1.122822594
Cd86	-4.88219	0.0043146	-1.23833
Melk	-4.7019	0.00432732	-1.25723
5430417L22Rik	4.47902	0.00433276	1.421545227
Nrbp2	4.63683	0.00434714	1.273553883
Tyms	-5.3696	0.00434876	-1.1716
Polq	-4.92084	0.00440717	-1.17727
Gm16793	4.58281	0.00442687	1.125534282
Ap4s1	-4.43509	0.00442832	-1.27929
Plekhm2	4.42919	0.00443063	1.073833263
Hgsnat	-6.55085	0.00448266	-1.709960001
Pou2f2	5.11297	0.00450957	1.354922187
Fth-ps2	4.59902	0.00451225	1.234579722
Mir6999	4.90792	0.00451684	1.376533767
Sdcbp2	-5.48865	0.00452206	-1.279780001
Espn	4.90458	0.00452362	1.078106724
Igkv4-63	-4.82839	0.00453053	-10.36109998
Gm9034	5.07495	0.00455169	1.154613501
Ighv1-77	-5.78264	0.00457271	-13.06520006
Rcan1	4.7567	0.00458341	1.539839517
Vmn1r-ps107	-4.81398	0.004618	-1.16549
Znrf1	4.93881	0.00462981	1.220388085
Angptl2	4.63505	0.00463224	1.276134153
Ndrg4	4.39588	0.00466362	1.194933225
Hist1h4m	-4.38211	0.00467383	-1.328110001
Sult5a1	-4.37984	0.00468788	-1.05652
Cap2	4.52649	0.00472293	1.239295305
Pvrl1	-4.55964	0.00472953	-1.192140001
R3hcc1l	5.03773	0.00477343	1.113213261
Wdr54	4.41113	0.00478761	1.173485487
Gm25447	4.57447	0.00479303	1.505267615
Trav11n	5.3198	0.00479504	1.461419133
Fastkd1	-4.78208	0.00480803	-1.25789
Plk4	-5.17184	0.0048184	-1.14254
Lclat1	5.93024	0.00484243	1.161347724
Gm12182	4.98768	0.00485142	1.144010267
Csnk1e	4.46171	0.00485276	1.082907488
Nrgn	4.33956	0.0048777	1.253324506
Ndufa4l2	4.60005	0.0048784	1.214767318
Ighv1-71	-5.89923	0.00487998	-32.43899984
Ighv1-62-2	-5.89923	0.00487998	-32.43899984
Lysmd2	4.52004	0.00488541	1.225448623
Dab2ip	4.33757	0.0048884	1.13852818
Cpvl	4.58626	0.00489973	1.209205964
Fah	4.60998	0.0049099	1.426648574
Zbtb8os	-4.78926	0.0049192	-1.186630001
Elf3	4.33459	0.00495518	1.157514287
Uqcrb	-5.26738	0.00505915	-1.176929999
4933427I22Rik	4.55049	0.00505967	1.202294229
Gm16175	4.51518	0.00509455	1.278338582
Gm23201	-4.84576	0.00513457	-1.383750001
Itfg3	-4.70124	0.00513742	-1.1958
Zfp62	-4.29496	0.00515949	-1.133580001
Gm15717	-5.30137	0.00516663	-1.4803
Vmn2r46	-6.62526	0.00517737	-1.410330001
Gm22793	4.33311	0.0052162	1.204237543
Gas2	-4.55672	0.00521973	-1.224170001
9430083A17Rik	5.15977	0.00523206	1.165387709
Rbm44	4.3351	0.00525339	1.263013448
Rpl31-ps1	-5.184	0.00526068	-1.042450001
Rybp	5.28149	0.00527938	1.218587629
4930509K18Rik	4.2847	0.00527946	1.154461451
Lsr	-7.36071	0.00530832	-1.12716
Opa3	-4.87209	0.00533001	-1.15432
Igkv4-56	-5.39881	0.00536544	-4.61368001
Gpr34	-4.42187	0.00537075	-1.2425
Gm10837	-4.64834	0.00538413	-1.345949999
Tnni3	4.2453	0.00540889	1.110723714
Tac1	4.2773	0.00541451	1.136864253
Ky	4.36018	0.0054442	1.152087267
Gm16033	-4.23636	0.0054625	-1.221830001
Olfr1090	4.52005	0.00547369	1.201044828
Trip13	-4.93009	0.00551449	-1.240560001
Mapre2	5.35278	0.00551893	1.15754638
Sik2	4.56914	0.0055243	1.147480789
Gm24871	-5.69659	0.00555052	-1.70856
Gm26831	4.27574	0.00556542	1.128541913
Srp54a	-4.51284	0.00558016	-1.422859999
Hist1h2ah	-4.21889	0.00558809	-1.21452
Igkv4-78	-4.83179	0.00561191	-4.899990004
Per2	4.60986	0.00564407	1.128510624
Gm10747	5.19049	0.00567403	1.43490975
Capza1	-4.42308	0.0056772	-1.14614
LOC100862151	5.8091	0.00573408	1.965518578
Thra	5.86983	0.00575662	1.087375328
Fhad1	4.44629	0.00575799	1.166373624
Echdc2	5.19175	0.00576182	1.220252747
Fam98c	-4.39579	0.00576859	-1.08254
Gm14455	4.20602	0.00577454	1.106313297
B3galt1	4.27274	0.00583792	1.618761004
Gm21588	4.34684	0.00587049	1.206418118
Emid1	4.17339	0.0058844	1.331599284
Ighv3-6	-6.22475	0.00589219	-13.72810004
Srp54b	-4.29251	0.00589299	-1.396180001
Olfr330	4.49089	0.0058982	1.209985702
Ifi30	-4.61122	0.0059115	-1.975720002
Gm12495	4.48793	0.00591154	1.168210292
Gm12760	5.0177	0.00592324	1.070147753
Ighv1-34	-5.1792	0.00592466	-8.211469987
Gm11834	4.17991	0.0059395	1.142282903
Zfp772	-5.21851	0.00594244	-1.18979
Gm9568	4.19244	0.00598088	1.273518573
Bpifb5	4.3246	0.00598166	1.096328388
Sirt3	4.24056	0.00600073	1.141467671
Rgl1	5.07661	0.00600549	1.169482278
Zwilch	-4.46345	0.0060077	-1.222740001
Gm15175	-4.84885	0.00602498	-1.16022
Klhl22	-4.27437	0.00603504	-1.133290001
Lmo2	4.8711	0.00604144	1.235658432
1700088E04Rik	4.32297	0.00604621	1.110585142
Olfr221	4.77979	0.00607685	1.167198553
Trbv19	-4.92693	0.00607777	-1.393409999
Ocel1	-4.29751	0.00609311	-1.272460001
Gm13697	-4.47709	0.00609924	-1.301080001
Gm13694	-4.47709	0.00609924	-1.301080001
Gm13696	-4.47709	0.00609924	-1.301080001
Gm13693	-4.47709	0.00609924	-1.301080001
Gm13698	-4.47709	0.00609924	-1.301080001
Rhox2h	4.15975	0.00611416	1.144200595
Gm26147	4.20062	0.00611948	1.196648963
Gm2420	5.04895	0.00613561	1.19007294
Gm22204	5.07876	0.00614203	1.141167053
Gm6043	-4.23999	0.00615414	-1.06668
Ptgfr	4.39973	0.00622878	1.119108566
Hoxc9	4.939	0.00625566	1.169952534
Sdha	-4.115	0.00626762	-1.228800001
Rsrc1	-4.11179	0.00628086	-1.083909999
Figf	4.43494	0.00628114	1.142987796
Igkv4-86	-5.255	0.00628815	-9.780620009
2010005H15Rik	-4.26494	0.00629018	-1.295659999
Fgf18	4.88798	0.00629238	1.289963281
Gabrr2	-4.12422	0.00629516	-1.14923
Psmd13	-4.14841	0.00630102	-1.15475
Asah1	-4.46586	0.00634278	-1.423820001
Gm23439	4.37924	0.00634386	1.180804398
Creb3l2	4.65458	0.006363	1.160687824
Gm24507	-4.26563	0.00644531	-1.14846
Gm26217	-6.0553	0.00648914	-1.11177
Rasgrp1	-5.65606	0.00650591	-1.418430001
Kdm4a	-4.48947	0.00655241	-1.1048
Xylt1	4.09485	0.00655743	1.137502724
Slc14a1	-4.39807	0.00655995	-1.28838
Dthd1	4.45917	0.00657738	1.254028382
Rnf13	-4.2674	0.00661677	-1.0641
Agfg1	-4.41634	0.00665765	-1.1709
Hap1	4.9263	0.00667716	1.265581135
Fgf23	4.05619	0.0066796	1.204529728
Ptpn14	4.07864	0.00671201	1.122729204
Tomt	4.13277	0.00672316	1.117643439
Ell3	4.1205	0.00673292	1.099623771
Ighv1-22	-4.93607	0.00673608	-9.907229986
Etv1	4.71543	0.00673849	1.115631056
Gm20917	4.19017	0.0067408	1.104864922
Pfdn1	-4.24401	0.0067645	-1.116260001
Gm13857	4.64203	0.00676975	1.128127399
Ptprf	-4.36126	0.0067788	-1.102509999
Ighv5-4	-5.55563	0.00680675	-9.007430031
C330027C09Rik	-5.75845	0.00681702	-1.331899999
Akr1c12	4.15427	0.00682725	1.327479885
