gene_name,B6-1-Tfh,B6-1-Tn,B6-2-Tfh,B6-2-Tn,B6-3-Tfh,B6-3-Tn,B6-4-Tfh,B6-4-Tn
1810021B22Rik,8,14,11,4,9,11,10,12
1810022K09Rik,306,425,406,336,317,365,352,374
1810024B03Rik,14,18,24,15,13,19,15,16
1810026B05Rik,1223,1182,1165,1184,1037,1204,1215,1279
1810026J23Rik,990,998,981,1010,987,916,977,923
1810030O07Rik,1669,1402,1699,1281,1630,1339,1638,1333
1810032O08Rik,201,293,211,311,193,292,208,288
1810034E14Rik,123,244,121,200,105,236,131,214
1810037I17Rik,405,445,527,373,443,420,456,395
1810041H14Rik,15,118,23,118,16,98,15,88
1810041L15Rik,7,0,2,0,3,0,7,0
1810043G02Rik,249,118,244,88,188,88,208,104
1810043H04Rik,201,223,283,211,196,199,229,203
1810044D09Rik,17,23,15,15,15,14,18,19
1810046K07Rik,2,0,0,0,1,0,1,0
1810049J17Rik,5,5,3,3,5,7,7,5
1810053B23Rik,0,0,0,0,1,0,0,0
1810055G02Rik,147,83,183,80,160,92,162,81
1810058I24Rik,692,911,871,747,754,759,790,698
1810059C17Rik,1,2,2,1,0,0,1,3
1810062G17Rik,5,29,21,19,20,16,15,12
1810062O18Rik,42,52,47,30,30,31,60,46
2010001A14Rik,75,74,54,41,57,40,41,33
2010001E11Rik,0,1,0,0,0,0,0,0
2010002M12Rik,31,108,34,77,26,66,11,91
2010005H15Rik,20,1,22,1,26,1,15,1
2010007H06Rik,205,10,152,12,194,7,201,9
2010010A06Rik,0,0,0,0,0,0,0,0
2010012O05Rik,92,107,93,95,94,93,102,95
2010013B24Rik,0,0,0,1,0,2,0,0
2010015M23Rik,3,10,4,11,9,5,6,11
2010016I18Rik,8874,2876,7466,3195,7984,2743,8232,3450
2010107E04Rik,600,1043,739,970,593,898,616,863
2010107G12Rik,12,14,8,10,13,14,3,10
2010107G23Rik,189,4,182,2,165,4,108,4
2010109A12Rik,4,8,3,11,2,4,7,9
2010109I03Rik,144,4,75,4,73,3,71,2
2010110E17Rik,3,0,0,1,0,0,0,0
2010110K18Rik,0,0,1,0,3,0,2,0
2010111I01Rik,696,507,780,490,709,568,674,590
2010204K13Rik,19,39,21,29,11,25,10,22
2010300C02Rik,79,31,62,20,41,17,46,24
2010300F17Rik,1,1,2,3,1,0,3,1
2010308F09Rik,0,0,0,0,0,0,0,0
2010310C07Rik,0,2,0,1,0,1,1,1
2010315B03Rik,647,690,552,512,498,440,506,452
2010320M18Rik,57,52,57,49,49,54,41,63
2200002D01Rik,25,27,14,26,14,33,16,25
2210008F06Rik,0,1,0,1,0,1,2,1
2210010C04Rik,2,1,6,1,6,1,2,2
2210011C24Rik,11,0,12,0,10,0,15,0
2210013O21Rik,349,139,377,160,333,177,328,147
2210015D19Rik,147,247,175,216,145,234,152,191
2210016F16Rik,1013,902,1112,798,988,763,946,721
2210016L21Rik,663,612,723,602,636,636,655,616
2210018M11Rik,1585,1438,1495,1396,1705,1344,1587,1560
2210404O09Rik,274,232,319,184,295,183,289,212
2210406O10Rik,1,1,1,4,2,0,0,0
2210408F21Rik,29,0,23,0,25,0,26,0
2210408I21Rik,28,23,25,13,38,13,34,23
2210411M09Rik,0,0,0,2,0,1,0,0
2210414B05Rik,0,0,0,0,0,0,0,0
2210417A02Rik,35,0,30,0,28,3,35,2
2300005B03Rik,0,0,0,0,0,0,0,0
2300009A05Rik,166,268,166,209,143,211,154,217
2310001H17Rik,2328,316,2144,324,2221,274,2049,302
2310001K24Rik,0,0,0,0,0,0,0,0
2310002F09Rik,12,7,13,4,10,3,10,3
2310003H01Rik,484,565,564,557,501,519,535,525
2310007L24Rik,0,1,0,0,0,1,0,0
2310009A05Rik,170,176,207,150,155,188,174,178
2310009B15Rik,32,86,67,63,49,66,53,78
2310010G23Rik,8,13,3,7,9,5,10,2
2310010J17Rik,43,70,54,53,36,67,39,60
2310011J03Rik,760,975,954,828,710,855,749,827
2310014F06Rik,0,0,0,0,0,0,0,0
2310015A10Rik,1766,195,1252,169,1220,133,1224,154
2310015D24Rik,0,0,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0,0,0
2310016D23Rik,11,5,10,8,9,10,10,4
2310022A10Rik,600,670,643,597,546,572,594,589
2310022B05Rik,400,260,538,230,488,247,573,215
2310026I22Rik,4,2,1,0,0,1,1,0
2310026L22Rik,0,0,0,0,0,0,0,0
2310030G06Rik,0,0,0,0,0,0,0,0
2310031A07Rik,20,7,26,4,25,1,27,4
2310033P09Rik,432,503,477,429,429,446,427,435
2310034G01Rik,3,3,2,2,3,4,2,2
2310035C23Rik,1642,1494,1485,1356,1514,1332,1470,1481
2310036O22Rik,2133,2483,2483,2198,2258,2272,2194,2219
2310039H08Rik,105,234,141,191,99,189,91,161
2310040G24Rik,1,2,0,1,1,5,1,5
2310043L19Rik,1,0,2,0,0,0,2,0
2310043M15Rik,0,2,2,1,0,0,1,3
2310043O21Rik,0,2,0,0,0,1,0,0
2310044K18Rik,15,8,11,5,6,9,11,9
2310045N01Rik,755,652,937,620,808,612,902,687
2310047D07Rik,3,3,2,5,1,3,0,0
2310047M10Rik,497,327,492,264,420,289,447,235
2310057M21Rik,154,223,198,208,181,176,153,222
2310058D17Rik,50,74,51,81,51,72,64,97
2310061I04Rik,456,524,571,546,516,533,518,545
2310067B10Rik,2679,1584,2719,1343,2580,1288,2827,1419
2310068J16Rik,0,3,1,1,0,1,1,1
2310069G16Rik,0,0,0,0,0,0,0,0
2310075C17Rik,0,0,0,0,0,0,0,0
2410002F23Rik,1152,1460,1122,1211,1074,1325,1073,1326
2410003L11Rik,2,0,0,1,1,7,2,0
2410004B18Rik,333,353,335,318,348,380,313,371
2410004P03Rik,18,19,9,4,19,4,23,5
2410006H16Rik,692,1295,987,1622,836,1458,860,1243
2410012M07Rik,0,0,0,0,0,0,0,0
2410015M20Rik,709,961,913,889,744,963,733,900
2410016O06Rik,550,639,580,624,532,640,554,645
2410017I17Rik,0,0,0,1,0,1,0,0
2410018L13Rik,0,0,0,2,0,0,3,1
2410022M11Rik,96,72,92,67,75,61,82,41
2410080I02Rik,0,0,1,0,1,0,0,0
2410089E03Rik,1155,1023,843,733,1053,798,974,868
2410127L17Rik,75,97,66,85,69,70,67,89
2410131K14Rik,456,617,478,538,463,571,474,557
2500002B13Rik,8,9,15,3,17,10,8,17
2500004C02Rik,49,31,65,39,41,25,47,30
2510002D24Rik,478,613,612,510,505,501,534,499
2510009E07Rik,331,295,261,243,274,192,239,223
2510039O18Rik,1970,2169,2040,2058,1924,2029,1878,2156
2510046G10Rik,19,55,27,39,14,47,18,43
2600006K01Rik,0,0,1,0,4,0,1,0
2600014E21Rik,3,1,7,2,0,0,3,1
2610001J05Rik,530,516,613,478,508,464,500,442
2610002J02Rik,982,1053,1146,855,981,922,952,900
2610002M06Rik,1049,1253,1109,1060,1047,960,1009,978
2610005L07Rik,76,54,52,47,59,51,53,47
2610008E11Rik,869,756,879,607,848,580,868,628
2610015P09Rik,196,170,200,158,188,128,162,123
2610016A17Rik,0,0,0,0,0,0,0,0
2610020C07Rik,15,13,14,7,13,14,14,11
2610020H08Rik,212,342,268,395,248,369,254,430
2610021A01Rik,681,588,603,523,620,503,691,548
2610024D14Rik,1,1,2,0,1,0,0,0
2610027K06Rik,0,0,0,0,0,0,0,0
2610034B18Rik,3,0,1,0,0,0,0,0
2610035D17Rik,938,711,1157,608,711,402,799,378
2610037D02Rik,39,47,26,41,42,38,39,57
2610042L04Rik,24,0,40,1,22,0,31,1
2610044O15Rik8,512,486,465,430,476,510,463,521
2610203C22Rik,0,0,0,0,0,0,0,0
2610204G07Rik,217,7,169,2,185,2,159,3
2610206C17Rik,5,1,4,4,3,3,4,2
2610301B20Rik,415,184,359,125,400,139,336,120
2610305D13Rik,0,0,0,0,0,0,0,0
2610306M01Rik,49,41,34,41,34,33,35,28
2610307P16Rik,3,10,6,8,4,10,4,7
2610318N02Rik,38,20,38,20,32,14,30,15
2610507B11Rik,5309,6177,4639,5627,4842,5479,4893,6287
2610507I01Rik,143,183,110,153,124,152,120,150
2610509F24Rik,0,3,0,1,1,3,0,4
2610524H06Rik,235,161,202,105,189,99,171,86
2610528A11Rik,2,4,1,2,1,0,1,0
2700012I20Rik,7,6,7,6,3,5,8,15
2700016F22Rik,2,2,5,3,1,2,3,1
2700029M09Rik,553,547,589,502,491,470,503,467
2700038G22Rik,19,55,37,61,41,63,48,82
2700046G09Rik,6,18,7,8,8,8,1,4
2700049A03Rik,456,517,408,431,361,427,446,365
2700060E02Rik,1280,1532,1600,1480,1304,1416,1321,1335
2700062C07Rik,231,228,301,189,224,173,246,187
2700068H02Rik,0,0,0,1,0,0,0,4
2700078F05Rik,0,0,0,0,0,0,0,0
2700081O15Rik,20,10,14,13,24,10,8,9
2700094K13Rik,296,511,385,435,302,435,306,413
2700097O09Rik,289,161,266,151,284,142,269,156
2700099C18Rik,43,23,28,18,37,18,32,21
2810001G20Rik,101,710,154,491,124,550,143,479
2810002D19Rik,154,175,169,134,137,125,153,130
2810004N23Rik,364,527,370,500,327,458,387,508
2810006K23Rik,198,196,252,165,193,159,214,160
2810013P06Rik,225,427,290,371,212,357,244,317
2810021J22Rik,388,399,433,379,438,374,468,373
2810025M15Rik,1,0,6,1,0,0,0,0
2810029C07Rik,35,7,18,7,14,10,22,11
2810030D12Rik,2,0,0,0,1,0,0,0
2810032G03Rik,0,0,0,0,0,0,0,0
2810039B14Rik,128,31,132,24,137,24,136,26
2810402E24Rik,111,92,98,90,86,77,109,87
2810403A07Rik,2387,2433,2206,2323,2185,2232,2397,2537
2810403D21Rik,76,67,61,48,83,40,60,34
2810404F17Rik,0,0,0,0,0,0,1,0
2810405F17Rik,6,21,19,21,8,23,16,27
2810407A14Rik,1,0,2,0,0,0,0,0
2810408A11Rik,21,89,34,61,36,73,26,66
2810408I11Rik,4,16,5,15,5,15,4,18
2810410L24Rik,1,26,0,8,0,11,0,13
2810414N06Rik,46,31,25,20,30,25,25,21
2810417H13Rik,107,8,82,8,62,12,83,1
2810425M01Rik,0,0,3,0,1,1,0,0
2810428I15Rik,403,552,486,479,367,473,434,460
2810429I04Rik,42,3,29,1,48,0,44,4
2810433D01Rik,0,0,0,0,0,0,0,0
2810442N19Rik,0,0,0,0,0,0,0,0
2810454H06Rik,25,33,35,24,24,20,29,25
2810455O05Rik,42,46,49,32,44,38,50,30
2810459M11Rik,2,0,2,2,0,1,0,0
2810468N07Rik,13,1,15,2,19,0,17,2
2810474O19Rik,2877,3775,3103,3600,3078,3452,3196,3851
2900005J15Rik,67,104,59,109,61,90,56,91
2900009J06Rik,0,1,0,1,0,0,0,0
2900011O08Rik,1,0,1,1,2,0,1,3
2900018N21Rik,0,0,0,0,0,0,0,0
2900026A02Rik,415,4,289,4,415,5,244,8
2900041M22Rik,7,2,10,3,7,5,11,7
2900052L18Rik,0,0,0,0,0,0,0,0
2900052N01Rik,0,0,0,0,1,0,1,0
2900055J20Rik,0,0,0,0,0,0,0,0
2900076A07Rik,185,113,184,122,166,125,194,166
2900079G21Rik,0,1,0,0,0,0,0,0
2900089D17Rik,3,2,5,2,3,3,2,2
2900092O11Rik,0,0,0,0,0,0,0,0
2900093K20Rik,8,29,14,32,21,23,15,44
2900097C17Rik,171,153,145,141,156,143,130,146
3000002C10Rik,61,54,59,43,62,30,57,46
3010001F23Rik,0,2,0,0,1,0,0,1
3010003L21Rik,9,6,9,1,7,7,8,9
3010026O09Rik,81,73,74,47,56,41,74,35
3110001I22Rik,87,149,116,139,122,140,107,142
3110002H16Rik,1107,1585,1371,1452,1175,1416,1365,1674
3110009E18Rik,46,70,61,79,43,75,45,63
3110021A11Rik,3,0,1,0,0,0,0,1
3110040N11Rik,314,335,363,325,338,321,302,344
3110043O21Rik,306,238,288,190,304,194,305,197
3110045C21Rik,0,3,0,7,2,4,1,2
3110052M02Rik,199,161,184,183,199,161,192,211
3110053B16Rik,90,47,59,55,63,48,76,47
3110056K07Rik,237,275,239,262,226,288,239,371
3110057O12Rik,232,280,249,239,248,211,231,213
3110062G12Rik,0,0,0,0,0,0,2,0
