NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,Unnamed: 11,group
GO_CELLULAR_RESPIRATION,GO_CELLULAR_RESPIRATION,Details ...,169,-0.6111887,-2.5277388,0,0,0,2299,"tags=52%, list=18%, signal=63%",,Tn_B6
GO_ELECTRON_TRANSPORT_CHAIN,GO_ELECTRON_TRANSPORT_CHAIN,Details ...,147,-0.6111642,-2.4947646,0,0,0,2333,"tags=58%, list=19%, signal=70%",,Tn_B6
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,Details ...,75,-0.6668593,-2.475792,0,0,0,1851,"tags=51%, list=15%, signal=59%",,Tn_B6
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,Details ...,88,-0.6445448,-2.461737,0,0,0,2882,"tags=63%, list=23%, signal=81%",,Tn_B6
GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,Details ...,49,-0.7337225,-2.4546957,0,0,0,2101,"tags=71%, list=17%, signal=85%",,Tn_B6
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Details ...,247,-0.5604271,-2.4476855,0,0,0,1399,"tags=38%, list=11%, signal=42%",,Tn_B6
GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,Details ...,58,-0.6820871,-2.4113598,0,0,0,2831,"tags=66%, list=23%, signal=84%",,Tn_B6
GO_VIRAL_GENE_EXPRESSION,GO_VIRAL_GENE_EXPRESSION,Details ...,165,-0.5740035,-2.3944404,0,0,0,1701,"tags=45%, list=14%, signal=52%",,Tn_B6
GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,Details ...,54,-0.6967724,-2.388712,0,0,0,2003,"tags=59%, list=16%, signal=70%",,Tn_B6
GO_AEROBIC_RESPIRATION,GO_AEROBIC_RESPIRATION,Details ...,76,-0.65044856,-2.3850918,0,0,0,2051,"tags=51%, list=16%, signal=61%",,Tn_B6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Details ...,71,-0.6471242,-2.3721414,0,0,0,2162,"tags=56%, list=17%, signal=68%",,Tn_B6
GO_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,GO_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Details ...,39,-0.72632533,-2.3719618,0,0,0,2029,"tags=62%, list=16%, signal=73%",,Tn_B6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Details ...,86,-0.6110754,-2.3263829,0,0,0,2415,"tags=55%, list=19%, signal=67%",,Tn_B6
GO_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,GO_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,Details ...,229,-0.5409977,-2.3255496,0,0,0,2330,"tags=45%, list=19%, signal=54%",,Tn_B6
GO_PROTEIN_TARGETING,GO_PROTEIN_TARGETING,Details ...,339,-0.51257783,-2.3203514,0,0,0,2345,"tags=41%, list=19%, signal=49%",,Tn_B6
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION,GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION,Details ...,30,-0.7451312,-2.3036685,0,0,0,1561,"tags=63%, list=12%, signal=72%",,Tn_B6
GO_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS,Details ...,22,-0.79376316,-2.2786598,0,0,0,672,"tags=64%, list=5%, signal=67%",,Tn_B6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,Details ...,159,-0.5494431,-2.2730207,0,0,0,2162,"tags=45%, list=17%, signal=53%",,Tn_B6
GO_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,Details ...,59,-0.63978183,-2.2695906,0,0,0,2092,"tags=53%, list=17%, signal=63%",,Tn_B6
GO_CRISTAE_FORMATION,GO_CRISTAE_FORMATION,Details ...,28,-0.75480163,-2.2651577,0,0,0,2029,"tags=68%, list=16%, signal=81%",,Tn_B6
GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Details ...,391,-0.49582696,-2.2539754,0,0,0,2333,"tags=40%, list=19%, signal=47%",,Tn_B6
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,Details ...,438,-0.4862814,-2.2452433,0,3.59E-05,0.001,2337,"tags=38%, list=19%, signal=45%",,Tn_B6
GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Details ...,108,-0.56137615,-2.229611,0,6.94E-05,0.002,2126,"tags=45%, list=17%, signal=54%",,Tn_B6
GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS,GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS,Details ...,63,-0.6240879,-2.216807,0,6.74E-05,0.002,3151,"tags=71%, list=25%, signal=95%",,Tn_B6
GO_TRANSLATIONAL_TERMINATION,GO_TRANSLATIONAL_TERMINATION,Details ...,103,-0.57348394,-2.20343,0,6.55E-05,0.002,2913,"tags=57%, list=23%, signal=74%",,Tn_B6
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,Details ...,107,-0.5639547,-2.2028532,0,6.36E-05,0.002,2055,"tags=47%, list=16%, signal=55%",,Tn_B6
GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,Details ...,48,-0.6597801,-2.1918144,0,9.15E-05,0.003,2253,"tags=58%, list=18%, signal=71%",,Tn_B6
GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,Details ...,88,-0.5756681,-2.1875653,0,8.91E-05,0.003,2913,"tags=60%, list=23%, signal=78%",,Tn_B6
GO_RNA_CATABOLIC_PROCESS,GO_RNA_CATABOLIC_PROCESS,Details ...,329,-0.4823505,-2.172362,0,0.000115675,0.004,1271,"tags=34%, list=10%, signal=37%",,Tn_B6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION,GO_ANTIGEN_PROCESSING_AND_PRESENTATION,Details ...,181,-0.51750404,-2.1715615,0,0.000112783,0.004,2419,"tags=46%, list=19%, signal=56%",,Tn_B6
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA,Details ...,70,-0.58689374,-2.1697538,0,0.000110032,0.004,3181,"tags=69%, list=25%, signal=91%",,Tn_B6
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,Details ...,168,-0.52475846,-2.166601,0,0.000134219,0.005,1504,"tags=45%, list=12%, signal=51%",,Tn_B6
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,Details ...,70,-0.59099644,-2.1661184,0,0.000131097,0.005,2003,"tags=51%, list=16%, signal=61%",,Tn_B6
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,Details ...,86,-0.56772685,-2.1565423,0,0.000128118,0.005,2055,"tags=50%, list=16%, signal=59%",,Tn_B6
GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Details ...,57,-0.6032626,-2.1467142,0,0.000201293,0.008,2873,"tags=61%, list=23%, signal=79%",,Tn_B6
GO_ATP_BIOSYNTHETIC_PROCESS,GO_ATP_BIOSYNTHETIC_PROCESS,Details ...,35,-0.6660607,-2.1408446,0,0.000196917,0.008,2253,"tags=60%, list=18%, signal=73%",,Tn_B6
GO_SUBSTANTIA_NIGRA_DEVELOPMENT,GO_SUBSTANTIA_NIGRA_DEVELOPMENT,Details ...,35,-0.6728141,-2.1370115,0,0.000192728,0.008,1108,"tags=46%, list=9%, signal=50%",,Tn_B6
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE,GO_PROTEIN_LOCALIZATION_TO_MEMBRANE,Details ...,465,-0.45800453,-2.1303992,0,0.000235941,0.01,1399,"tags=28%, list=11%, signal=31%",,Tn_B6
GO_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,GO_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,Details ...,75,-0.5684062,-2.102655,0,0.000437978,0.019,2003,"tags=47%, list=16%, signal=55%",,Tn_B6
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,Details ...,433,-0.45609957,-2.1021974,0,0.000429219,0.019,2683,"tags=41%, list=21%, signal=50%",,Tn_B6
GO_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GO_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,,147,-0.5174316,-2.0878658,0,0.000487896,0.021,2154,"tags=39%, list=17%, signal=46%",,Tn_B6
GO_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GO_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,,153,-0.508876,-2.0816813,0,0.000522073,0.023,2256,"tags=39%, list=18%, signal=46%",,Tn_B6
GO_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS,GO_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS,,17,-0.7816875,-2.0709035,0,0.000620101,0.028,2151,"tags=76%, list=17%, signal=92%",,Tn_B6
GO_ANTIBIOTIC_METABOLIC_PROCESS,GO_ANTIBIOTIC_METABOLIC_PROCESS,,49,-0.6018779,-2.0707936,0,0.000608618,0.028,1685,"tags=39%, list=13%, signal=45%",,Tn_B6
GO_CELLULAR_KETONE_METABOLIC_PROCESS,GO_CELLULAR_KETONE_METABOLIC_PROCESS,,136,-0.5122349,-2.0678382,0,0.000638883,0.03,2138,"tags=38%, list=17%, signal=46%",,Tn_B6
GO_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,GO_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,,89,-0.54290205,-2.0624447,0,0.00074902,0.036,1217,"tags=34%, list=10%, signal=37%",,Tn_B6
GO_PROTON_TRANSMEMBRANE_TRANSPORT,GO_PROTON_TRANSMEMBRANE_TRANSPORT,,118,-0.5152776,-2.045152,0,0.001172899,0.057,2473,"tags=46%, list=20%, signal=56%",,Tn_B6
GO_SULFUR_COMPOUND_CATABOLIC_PROCESS,GO_SULFUR_COMPOUND_CATABOLIC_PROCESS,,32,-0.64763725,-2.0435493,0,0.001172004,0.058,1804,"tags=44%, list=14%, signal=51%",,Tn_B6
GO_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,GO_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,,121,-0.50941616,-2.0338583,0,0.00134518,0.068,1851,"tags=37%, list=15%, signal=43%",,Tn_B6
GO_PEPTIDYL_ASPARAGINE_MODIFICATION,GO_PEPTIDYL_ASPARAGINE_MODIFICATION,,32,-0.6366136,-2.0289125,0,0.001417305,0.073,1433,"tags=50%, list=11%, signal=56%",,Tn_B6
GO_ATP_HYDROLYSIS_COUPLED_CATION_TRANSMEMBRANE_TRANSPORT,GO_ATP_HYDROLYSIS_COUPLED_CATION_TRANSMEMBRANE_TRANSPORT,,48,-0.5894031,-2.028114,0,0.00139407,0.073,1633,"tags=44%, list=13%, signal=50%",,Tn_B6
GO_RESPONSE_TO_INTERLEUKIN_12,GO_RESPONSE_TO_INTERLEUKIN_12,,43,-0.61725634,-2.0279775,0,0.001371585,0.073,1832,"tags=58%, list=15%, signal=68%",,Tn_B6
GO_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,GO_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,,32,-0.64397377,-2.0263808,0,0.001385962,0.074,2151,"tags=50%, list=17%, signal=60%",,Tn_B6
GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS,GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS,,101,-0.5242321,-2.0231016,0,0.001417276,0.077,1339,"tags=35%, list=11%, signal=38%",,Tn_B6
GO_RIBOSOME_BIOGENESIS,GO_RIBOSOME_BIOGENESIS,,241,-0.46321914,-2.0223548,0,0.001395472,0.077,3083,"tags=48%, list=25%, signal=62%",,Tn_B6
GO_TELOMERASE_RNA_LOCALIZATION,GO_TELOMERASE_RNA_LOCALIZATION,,19,-0.7267456,-2.0203247,0,0.001476765,0.08,1476,"tags=58%, list=12%, signal=66%",,Tn_B6
GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,,92,-0.52922904,-2.0135396,0,0.001674946,0.091,1851,"tags=39%, list=15%, signal=46%",,Tn_B6
GO_RRNA_METABOLIC_PROCESS,GO_RRNA_METABOLIC_PROCESS,,180,-0.4806039,-2.0088913,0,0.001767513,0.098,3083,"tags=48%, list=25%, signal=63%",,Tn_B6
GO_NEURAL_NUCLEUS_DEVELOPMENT,GO_NEURAL_NUCLEUS_DEVELOPMENT,,44,-0.5901813,-2.0064101,0,0.001857497,0.105,1108,"tags=39%, list=9%, signal=42%",,Tn_B6
GO_CELL_REDOX_HOMEOSTASIS,GO_CELL_REDOX_HOMEOSTASIS,,62,-0.55878085,-2.0039003,0,0.001880133,0.107,2226,"tags=47%, list=18%, signal=57%",,Tn_B6
GO_GLYCOSYL_COMPOUND_METABOLIC_PROCESS,GO_GLYCOSYL_COMPOUND_METABOLIC_PROCESS,,46,-0.5890163,-1.9956328,0,0.002106075,0.12,1855,"tags=33%, list=15%, signal=38%",,Tn_B6
GO_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,GO_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,,80,-0.5335809,-1.9919345,0,0.002186228,0.127,2255,"tags=46%, list=18%, signal=56%",,Tn_B6
GO_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,GO_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,,469,-0.42773935,-1.9886428,0,0.002233055,0.132,1271,"tags=27%, list=10%, signal=29%",,Tn_B6
GO_MITOCHONDRIAL_TRANSPORT,GO_MITOCHONDRIAL_TRANSPORT,,214,-0.4611777,-1.9883767,0,0.002202879,0.132,2257,"tags=38%, list=18%, signal=46%",,Tn_B6
GO_MITOCHONDRION_ORGANIZATION,GO_MITOCHONDRION_ORGANIZATION,,440,-0.4300702,-1.9853065,0,0.002309319,0.138,2305,"tags=36%, list=18%, signal=43%",,Tn_B6
GO_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,GO_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,,131,-0.5006961,-1.9840504,0,0.002339328,0.142,2061,"tags=40%, list=16%, signal=47%",,Tn_B6
GO_AEROBIC_ELECTRON_TRANSPORT_CHAIN,GO_AEROBIC_ELECTRON_TRANSPORT_CHAIN,,15,-0.7490583,-1.9817172,0,0.002471697,0.152,2725,"tags=80%, list=22%, signal=102%",,Tn_B6
GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,,83,-0.53115237,-1.977943,0,0.002629156,0.164,1207,"tags=35%, list=10%, signal=38%",,Tn_B6
GO_ENERGY_COUPLED_PROTON_TRANSPORT_DOWN_ELECTROCHEMICAL_GRADIENT,GO_ENERGY_COUPLED_PROTON_TRANSPORT_DOWN_ELECTROCHEMICAL_GRADIENT,,20,-0.706005,-1.9748142,0,0.002769038,0.175,2092,"tags=70%, list=17%, signal=84%",,Tn_B6
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,,22,-0.68866056,-1.9714645,0,0.002862087,0.183,1685,"tags=41%, list=13%, signal=47%",,Tn_B6
GO_AMINE_METABOLIC_PROCESS,GO_AMINE_METABOLIC_PROCESS,,96,-0.5119186,-1.9674778,0,0.002938903,0.189,3151,"tags=55%, list=25%, signal=73%",,Tn_B6
GO_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,,29,-0.6322576,-1.9599473,0.001972387,0.003383282,0.219,2151,"tags=59%, list=17%, signal=71%",,Tn_B6
GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,,79,-0.5265483,-1.9594524,0,0.003411154,0.224,1181,"tags=29%, list=9%, signal=32%",,Tn_B6
GO_MITOCHONDRIAL_TRANSLATION,GO_MITOCHONDRIAL_TRANSLATION,,133,-0.4787574,-1.9583129,0,0.003465028,0.23,3247,"tags=56%, list=26%, signal=75%",,Tn_B6
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,,55,-0.5507413,-1.9511719,0,0.003929466,0.262,801,"tags=31%, list=6%, signal=33%",,Tn_B6
GO_ANTIBIOTIC_CATABOLIC_PROCESS,GO_ANTIBIOTIC_CATABOLIC_PROCESS,,22,-0.6781715,-1.9482805,0,0.003989758,0.268,1512,"tags=45%, list=12%, signal=52%",,Tn_B6
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,,66,-0.53512716,-1.9450092,0,0.004139368,0.28,2055,"tags=39%, list=16%, signal=47%",,Tn_B6
GO_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,GO_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,,15,-0.75049746,-1.9426665,0.003816794,0.004311673,0.292,1193,"tags=60%, list=10%, signal=66%",,Tn_B6
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,,92,-0.5062474,-1.93756,0,0.004528962,0.307,1851,"tags=37%, list=15%, signal=43%",,Tn_B6
GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE,GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE,,41,-0.59164095,-1.9359432,0,0.004565971,0.312,2126,"tags=49%, list=17%, signal=59%",,Tn_B6
GO_PROTEIN_INSERTION_INTO_MEMBRANE,GO_PROTEIN_INSERTION_INTO_MEMBRANE,,48,-0.56458455,-1.931724,0,0.00482607,0.33,2376,"tags=48%, list=19%, signal=59%",,Tn_B6
GO_NON_CANONICAL_WNT_SIGNALING_PATHWAY,GO_NON_CANONICAL_WNT_SIGNALING_PATHWAY,,111,-0.49304602,-1.922586,0,0.005388403,0.361,2055,"tags=45%, list=16%, signal=53%",,Tn_B6
GO_MATURATION_OF_LSU_RRNA,GO_MATURATION_OF_LSU_RRNA,,18,-0.70327383,-1.9221308,0,0.005342274,0.362,801,"tags=33%, list=6%, signal=36%",,Tn_B6
GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION,GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION,,90,-0.5047323,-1.9179877,0,0.005707206,0.385,2003,"tags=41%, list=16%, signal=49%",,Tn_B6
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,,18,-0.6996073,-1.9153583,0,0.00583716,0.395,1533,"tags=33%, list=12%, signal=38%",,Tn_B6
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,,17,-0.70966125,-1.9131647,0.002004008,0.00595388,0.406,1239,"tags=35%, list=10%, signal=39%",,Tn_B6
GO_MIDBRAIN_DEVELOPMENT,GO_MIDBRAIN_DEVELOPMENT,,61,-0.5459542,-1.9120785,0,0.006020343,0.413,1108,"tags=30%, list=9%, signal=32%",,Tn_B6
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,,16,-0.72862786,-1.9100726,0,0.006154702,0.423,1940,"tags=63%, list=15%, signal=74%",,Tn_B6
GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,,123,-0.47497806,-1.906498,0,0.006425171,0.435,2422,"tags=41%, list=19%, signal=50%",,Tn_B6
GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,,113,-0.47586194,-1.888078,0,0.008116216,0.507,1851,"tags=34%, list=15%, signal=39%",,Tn_B6
GO_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GO_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,,213,-0.43865153,-1.8878393,0,0.008069769,0.507,3178,"tags=44%, list=25%, signal=58%",,Tn_B6
GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,,20,-0.65912676,-1.8839562,0,0.008434176,0.521,2151,"tags=65%, list=17%, signal=78%",,Tn_B6
GO_TRICARBOXYLIC_ACID_CYCLE,GO_TRICARBOXYLIC_ACID_CYCLE,,30,-0.6131385,-1.8823447,0,0.008493701,0.525,1821,"tags=47%, list=15%, signal=54%",,Tn_B6
GO_TRANSLATIONAL_ELONGATION,GO_TRANSLATIONAL_ELONGATION,,125,-0.46824425,-1.8815894,0,0.008532282,0.531,2913,"tags=53%, list=23%, signal=68%",,Tn_B6
GO_MEMBRANE_REPOLARIZATION,GO_MEMBRANE_REPOLARIZATION,,26,-0.6285204,-1.8779815,0.002141328,0.008837625,0.547,1964,"tags=35%, list=16%, signal=41%",,Tn_B6
GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS,GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS,,17,-0.7019387,-1.8744016,0.001912046,0.009202055,0.564,2256,"tags=76%, list=18%, signal=93%",,Tn_B6
GO_MYELOID_LEUKOCYTE_ACTIVATION,GO_MYELOID_LEUKOCYTE_ACTIVATION,,498,-0.40249875,-1.8692318,0,0.009964093,0.6,2932,"tags=39%, list=23%, signal=49%",,Tn_B6
