Target Gene Symbol,log2 ratio (p-S6-high/pS6-low),log2 ratio (p-S6-high/pS6-low)
Cdk7,-1.457433981,-1.272945495
Cdkn1b,0.834360253,1.021030577
Cherp,-0.32469493,-0.367425412
Clk3,0.610931434,0.899277806
Cnot10,0.292327997,-0.080210673
Cnot9,-0.876815581,-0.527485554
Col26a1,0.237762824,0.630590539
control,0.281501291,0.668115682
Coro1a,1.358624514,1.490026699
Cpsf1,-1.286023122,-1.315231373
Cpsf6,-0.789472912,-0.394141218
Csnk2b,-2.048203302,-1.716153381
Ctcf,1.032883342,1.057230297
Ctdp1,-1.258273695,-1.148524588
Cul1,-0.888069979,-0.877225786
Cwc15,-0.808562211,-0.782160136
Cwc22,-0.392072377,-0.210789923
Cwc25,-0.478633735,-0.371338564
Cxxc1,1.160765603,1.019851299
Cyth1,0.645291938,0.830387673
Dars,-2.231622536,-2.358551625
Dbf4,1.21811061,1.54919664
Dbr1,-2.145327227,-2.77614652
Dcaf7,-1.498409276,-1.217043317
Ddit4,1.322943487,1.368926922
Ddx23,-0.890235633,-0.667638781
Ddx41,-1.161496469,-1.615917738
Ddx5,0.461568265,0.136104441
Depdc5,2.98405681,2.282095795
Dgcr14,-0.515441275,-0.422395102
Dgcr8,-0.07494586,0.209224986
Dhx16,-1.437863499,-1.182503712
Dhx8,-0.488318479,-0.493607142
Dicer1,0.084172429,0.436906526
Dnmt1,-0.860692824,-0.614101024
Dohh,-2.195833442,-3.060719054
Dpf2,-1.250052782,-1.500190432
Drosha,-0.058873249,0.177862245
Eef1a1,-3.323623716,-2.967110366
Eef1e1,-1.46879087,-1.806487211
Eif2b1,-1.047017991,-1.150189439
Eif2b2,-1.737413703,-2.328714386
Eif2b3,-1.267712038,-1.490903703
Eif2b4,-1.694097535,-2.09948344
Eif2b5,-1.819343276,-2.425869147
Eif4g2,-0.132887258,-0.130245121
Eif6,-1.983823514,-2.022469944
Elmo1,0.06217961,0.1940978
Elob,2.458685588,2.489349487
Eloc,1.407933328,1.593477705
Eprs,-1.769936198,-1.942300181
Ercc3,-1.549084682,-1.339436001
Etf1,-1.676984047,-2.293283601
Exoc1,-0.865197506,-0.461665002
Exoc5,-1.294779402,-0.798252912
Fam32a,-0.519920808,-0.652746722
Fam50a,-1.791970888,-2.085430219
Fam92a,0.353048104,0.651321928
Farsa,-1.597277196,-1.933717804
Farsb,-1.956429852,-2.326918717
Fbn2,0.337996934,0.718779181
Fbxo32,0.383405598,0.607898689
Fcho1,0.555802813,0.827204312
Fermt3,-1.672753182,-1.817946113
Fnta,-3.066805531,-3.69274316
Foxn3,0.388284737,0.722562445
Foxo1,-0.496585728,-0.835427551
Fyb,-1.197469533,-0.831111286
Gars,-2.542453857,-2.954790959
Gfpt1,-1.155555077,-1.23530858
Ggta1,-0.222178758,0.195576785
Golt1b,-1.135390293,-0.981209734
Gpkow,-0.625385023,-0.53415722
Gpn1,-2.118977678,-2.719760245
Gpn2,-2.754063375,-2.653434104
Grap2,-2.3664972,-2.145979894
Gspt1,-0.843266384,-1.016023628
Gtf2a1,-0.364326049,-0.020213351
Gtf2e2,-1.570641799,-1.410859429
Gtf2f2,-0.994557769,-0.728337924
Gtf2h1,-1.007760101,-0.680516384
Gtf2h3,-1.679797925,-1.521848838
Gtf3c1,-1.378827898,-1.397733485
Hars,-2.544974405,-3.107769523
Hexim1,0.534112596,0.783023919
Hmgcs1,-0.798409311,-0.79473774
Huwe1,-0.832683225,-1.016356903
Hypk,-1.867648943,-1.595082147
Ilf2,-0.40143927,-0.357934171
Ilk,-0.489204139,-0.252372105
Ino80,-0.33325107,-0.26862592
Ints1,0.102504601,-0.306774896
Ints8,-0.294841248,-0.78254961
Ipo8,0.910124763,1.237360443
Irf2,0.260295653,0.548594749
Irgm2,0.45752354,0.930826276
Isy1,-0.665014901,-0.646056854
Itgav,-1.064439863,-2.486356758
Itgb3,-0.274836553,-0.167504475
Itk,-1.860589823,-1.689383217
Kat7,-0.927443197,-0.972306603
Kmt2b,-0.657120169,-0.984339056
Kmt2d,-0.660506392,-0.584639332
Kmt5b,0.626830398,1.047879237
L3mbtl3,-0.010846887,0.599182618
Lamtor1,-2.527629853,-2.935851626
Lamtor2,-2.662909493,-3.496550456
Lamtor3,-4.14025759,-4.803629115
Lamtor4,-2.155703335,-2.478804665
Lck,-3.131622939,-3.921308573
Lcp1,-0.894777445,-1.055172609
Lcp2,-3.66415672,-4.377792688
Leng1,-1.080198067,-1.143797767
Lin37,0.798379014,1.010993171
Lsm11,0.729184997,1.006491465
Lsm2,-0.603745962,-0.503657767
Maea,0.910669983,0.750356474
Mapk1,-0.866003613,-0.918445188
Mapk3,0.219734862,0.421834104
Mars,-1.931038912,-2.255144737
Mbnl1,-1.39549466,-0.913477953
Mcrs1,-0.639557505,-0.663550966
Med13,0.919251265,1.035570819
Med24,-0.135067361,0.303097063
Med26,-1.457898774,-1.244931424
Med31,-1.099628587,-0.826441927
Men1,0.592365397,0.771266842
Metap1,0.342724453,0.461066664
Mettl16,-2.38263393,-2.232051418
Mgat1,-0.437860342,-0.409745734
Mios,-2.19245525,-2.632957719
Mlst8,-1.117731066,-0.885539005
Mob4,-1.125147131,-0.793357937
Mtmr1,0.567408797,0.711491497
Mtor,-2.973261348,-3.562784034
Mtrr,0.699212857,1.055192687
Mtss1l,0.311490059,0.611480821
Myc,-0.6586064,-0.785488106
Mycbp2,-0.028345568,0.473941475
Myl6,2.490784616,4.188376918
Naa15,-1.717003599,-1.661148948
Naca,-0.286543871,0.106141376
Nae1,1.928870311,1.579686088
Nars,-2.192345919,-2.798183777
Nat6,0.519296244,0.947062714
Nck1,-0.447119707,0.128640185
Neil1,0.295722688,0.573701466
Nelfa,-1.345170524,-1.399163531
Nelfb,-1.767029752,-2.205266001
Nelfcd,-1.98658797,-2.578661237
Nfatc2,-0.137780562,0.025917237
Nmt1,-0.456731153,-0.277773496
Nprl2,3.530395065,2.736636351
Nprl3,2.967508628,2.368334659
Nrbp1,0.090557899,0.637908925
Nrde2,-2.023560478,-1.927470294
Nsf,-0.805692899,-0.556226764
Nsfl1c,0.692754193,1.008231519
Nudt21,-1.620276166,-1.669617893
Nup155,-1.576892083,-1.026350073
Nup35,-0.393536816,-0.185339248
Nup43,-1.535850152,-1.422248731
Nup85,-1.194517294,-0.979362922
Olfr575,0.264826601,0.611856756
Otub1,0.886133309,1.039117732
Otud5,-0.409994523,-0.071820951
Pabpn1,-1.499068098,-1.409226129
Pak2,-0.643640352,-0.170232307
Pcid2,-1.071447056,-0.613368756
Pdap1,-0.618009995,-0.423016627
Pdpk1,-1.72508483,-1.796236795
Pfdn6,-0.704411215,-1.273404321
Pggt1b,-2.938617632,-3.340254996
Pgrmc2,0.151924072,0.269442951
Pi4ka,-0.187947008,0.049454045
Pias1,0.902524454,1.156685807
Pik3r4,-0.301475583,-0.107759477
Plrg1,-0.859466451,-1.099169295
Pmf1,-0.500880843,-0.44332112
Pnn,-0.338966146,-0.298195482
Polr2b,-1.824869963,-1.597704674
Polr2d,-1.069443582,-0.816139034
Polr2e,-1.428690587,-1.406445295
Polr2g,-1.555614545,-1.575945018
Polr2h,-2.126204853,-1.879535699
Polr2j,-1.580232913,-1.465969675
Polr2l,-1.830580268,-1.698706837
Ppie,-0.407014917,-0.320509423
Ppil1,-1.595272881,-1.640382935
Ppil2,-1.777915486,-1.791830324
Ppil4,-1.262043449,-1.0074727
Ppp3cb,-0.326880503,-0.082701638
Preb,-1.194037296,-1.172268015
Prkar1a,-0.152825274,-0.311599271
Prmt1,-1.545647555,-1.425948885
Prmt5,-2.146888813,-2.352270721
Prmt6,0.340565915,0.679687035
Prox1,0.251030669,0.602110303
Prpf18,-0.282078287,-0.137485983
Prpf19,-1.659122879,-1.940625982
Prpf38b,-1.286738085,-1.131540844
Ptpn1,2.529557791,2.471805312
Ptpn2,2.495531252,2.372505326
Ptpn6,1.739081971,1.662522994
Ptprc,-0.137012398,0.260124415
Qars,-1.655429733,-2.143586034
Qrich1,0.512219888,0.836773941
Rangap1,-1.883666349,-1.808783456
Rapgef1,-0.657364772,-0.21748738
Rasgrp1,-0.866932523,-0.555043076
Rb1,0.591246682,0.888922849
Rbbp4,2.188923991,2.030366382
Rbbp5,-0.21960454,-0.834553721
Rbm22,-1.005279588,-1.158048752
Rbmx2,-0.950750491,-0.852348653
Rheb,-1.728110825,-2.472316506
Rhog,-0.693929807,-0.308619904
Rhoh,-2.871365973,-1.713340884
Ric8a,-0.492817752,-0.324203053
Rnpc3,-1.056927142,-1.163323527
Rpap1,-1.376278655,-1.236221182
Rps6kb2,-0.93296348,-1.118643396
Rptor,-2.907505021,-3.846891014
Rraga,-2.546092545,-3.171210887
Rrbp1,0.437153792,0.816935712
Rtfdc1,-1.371954349,-1.406898062
Runx1,0.37225674,0.38485852
Ruvbl2,-2.092850231,-1.927470112
Sap18,-1.253060321,-1.079235386
Sars,-3.364998258,-3.725201965
Sde2,-0.904590224,-1.147747861
Sdhc,-2.036191889,-2.299389762
Sdhd,-1.624970301,-2.016014135
Sec13,-1.568947132,-1.355449161
Sec16a,-0.241474807,0.050775137
Sec31a,-2.320050292,-1.771963977
Sec61a1,0.22373016,-0.610590597
Seh1l,-3.760480532,-4.268399769
Sem1,-0.566184598,-0.419997081
Senp5,0.356839279,0.715267807
Serbp1,-0.016469606,0.210835791
Sesn3,0.853850657,1.044802589
Sf1,-0.783818115,-0.872543941
Sgf29,1.34840985,1.016040948
Sh3kbp1,0.805479226,0.857668612
Shoc2,-1.951888873,-1.86274116
Sit1,1.036721654,1.034203117
Siva1,0.623795038,1.087096154
Skiv2l2,-2.566722469,-2.719350173
Sla,0.429321938,0.813914547
Slc39a7,-0.660459819,-0.952919239
Slc7a6os,-0.963943279,-0.730638567
Smad2,1.674157124,1.642695992
Smad4,1.368547962,1.340253944
Smarca4,-2.408148624,-2.91999105
Smarcb1,-1.88890023,-2.531860507
Smarcc1,-1.17566904,-1.210437747
Smarcd2,-1.95785763,-2.20482938
Smarce1,-0.49741742,-0.619956518
Smc1a,-0.913469114,-0.962815742
Smg1,0.829815771,0.923745311
Snip1,-0.197046524,-0.231424861
Snrnp27,-1.041301838,-0.645661125
Snrnp35,-0.680018603,-0.622796592
Snrnp40,-1.446112851,-1.459762983
Snw1,-0.518287323,-0.187408962
Spcs2,-1.240638205,-1.340076335
Spcs3,-1.259776323,-1.327198399
Sppl3,-1.792862637,-1.280822221
Srp72,-0.85704883,-0.936017234
Srpr,-0.504010602,-0.777373074
Srsf6,0.297506857,0.645662069
Ssr1,1.632616889,1.70912774
Ssr2,1.550829011,1.650270104
Stat5a,-0.97302249,-0.469195906
Stat5b,-2.127226347,-2.337782549
Stim1,-0.510343998,-0.309347856
Stip1,0.012406197,0.227640118
Strip1,-1.246729802,-0.820767729
Sucnr1,0.433649796,0.695220244
Suds3,1.307092947,1.087145624
Taf2,-2.421562539,-2.765054021
Taf3,-0.41961976,-0.235474991
Taf4,-0.467204568,-0.369818456
Taf5,-1.422430283,-1.447365236
Taf6,-1.421900125,-1.303649491
Taf6l,1.494639066,1.477041521
Taf7,-1.50639424,-1.638986667
Taf8,-1.673903556,-1.819170373
Tango6,-1.901488024,-1.883199594
Tbc1d10b,-0.139363698,0.170643052
Tbc1d7,1.283520066,1.339770334
Tfdp1,0.500311593,0.84148438
Thap11,-0.512097502,0.087767576
Timm21,0.301587521,0.594698874
Tln1,-2.404168062,-3.034401207
Tmem258,-1.087503019,-0.995218463
Tpt1,2.330504613,2.37197745
Tram1,0.737265108,0.992283037
Trappc8,-0.422911507,-0.092290761
Trim28,-0.265703759,-0.372139669
Trrap,0.783252878,0.48212856
Tsc1,3.150331757,2.450838492
Tsc2,3.695023454,2.800668466
Tut1,-2.203348131,-2.505273972
Uba1,0.462134829,0.276741792
Uba3,2.431400809,1.550643181
Ubash3b,0.899411721,1.034694902
Ube2f,2.531472198,2.47955953
Ube2h,0.863597209,0.718129177
Ube2m,1.151037237,1.207248726
Ube2n,1.963182529,1.537789111
Ube4b,0.894380589,1.186569299
Ubr4,-0.20865728,0.11375735
Ubr5,-0.589590249,-0.168537563
Uhrf1,-1.16119214,-0.925871962
Upf1,0.217807958,-0.043836169
Uri1,1.207319942,0.069107746
Urod,-1.301416616,-2.02643953
Usp36,-0.952859554,-0.846642669
Usp9x,-0.883562378,-0.817832148
Uxt,-0.814562411,-1.171866665
Vars,-1.584262364,-1.911608921
Vav1,-3.374261031,-3.05250298
Vps4b,-0.129038217,0.01475215
Wars,-1.793756201,-2.066526637
Was,-1.654861754,-2.526426808
Wasf2,0.099638201,-0.292293173
Wdr20,-0.880649467,-0.290932719
Wdr24,-2.194823003,-2.340293846
Wdr70,-0.608862086,-0.616143828
Wdr77,-1.827035853,-1.596963325
Wdr82,1.750782677,0.635893068
Wdr92,2.52642352,1.498409188
Wipf1,-1.611589186,-1.984333867
Wnk1,0.250762184,0.821850842
Wtap,0.766321026,0.572298323
Yars,-2.543018083,-3.125612354
Ypel5,1.098692725,0.978397708
Ywhaz,0.062563993,0.568238502
Yy1,-0.4284524,-0.465114919
Zap70,-3.726464594,-4.410456808
Zbtb11,-0.897541988,-1.075437374
Zc3h12a,0.073315219,-1.089194979
Zdhhc14,0.343285625,0.667590806
Zdhhc15,0.290004058,0.649407787
Zfp281,0.03612688,0.260210867
Zmat2,-0.794700956,-0.888995809
