gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn
1700003N22Rik,0,0,0,2,1,0,0,0
1700006F04Rik,0,1,1,1,0,0,0,0
1700006J14Rik,2,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0
1700007E05Rik,0,1,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0
1700007J10Rik,0,1,0,0,0,0,0,0
1700007K09Rik,0,0,0,0,1,0,1,0
1700007K13Rik,0,0,0,0,0,0,0,0
1700007L15Rik,41,29,26,31,46,34,35,26
1700008F21Rik,0,1,0,0,0,0,0,0
1700008J07Rik,44,52,41,45,55,43,40,39
1700008O03Rik,5,7,5,3,3,0,3,1
1700009C05Rik,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0,0
1700010I14Rik,111,116,76,92,79,88,62,68
1700010K24Rik,0,1,1,1,2,0,1,0
1700011A15Rik,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0
1700011I03Rik,2,0,0,0,0,1,0,0
1700011L22Rik,0,0,0,0,0,0,0,0
1700012B07Rik,1,1,4,1,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0,0
1700012C14Rik,0,1,0,0,0,1,0,0
1700012I11Rik,0,0,0,0,0,0,0,1
1700012L04Rik,0,4,1,2,0,0,0,1
1700013F07Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0
1700014D04Rik,0,0,1,0,0,1,0,0
1700015F17Rik,1,1,0,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,0,0,0
1700016A09Rik,1,2,2,0,1,1,2,2
1700016C15Rik,2,0,0,1,0,0,0,0
1700016D06Rik,0,0,0,0,0,0,0,0
1700016G14Rik,2,0,0,2,2,7,3,6
1700016G22Rik,0,0,0,0,0,0,0,0
1700016K19Rik,4,6,6,14,9,8,8,6
1700016L21Rik,2,0,0,0,12,4,5,2
1700016P03Rik,7,4,4,2,1,1,0,0
1700017B05Rik,2541,2000,1909,1699,1644,1308,1401,1452
1700017G19Rik,0,0,0,0,0,0,0,0
1700018A14Rik,0,0,0,0,0,0,0,0
1700018B08Rik,0,1,1,0,0,0,0,0
1700018L02Rik,2,3,3,2,5,2,4,1
1700018M17Rik,0,1,1,0,4,1,0,0
1700019A02Rik,2,1,2,2,0,2,0,2
1700019B03Rik,4,2,3,1,2,6,0,4
1700019D03Rik,693,570,742,559,0,2,2,2
1700019G17Rik,156,176,172,149,189,151,187,162
1700019L03Rik,28,27,18,11,0,0,0,1
1700019N19Rik,0,0,0,1,0,0,0,1
1700019O17Rik,0,0,0,0,0,0,0,0
1700020D05Rik,30,26,22,41,14,13,13,17
1700020I14Rik,5385,4546,5083,4918,4607,3866,3801,4202
1700020L24Rik,29,24,22,17,12,18,13,20
1700020M21Rik,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,1,0,0,0,0
1700020N18Rik,24,15,17,10,1,4,1,3
1700021A07Rik,38,63,39,41,43,50,41,39
1700021F05Rik,162,168,145,152,143,130,141,151
1700021J08Rik,0,0,0,0,0,0,0,0
1700021K19Rik,877,838,890,904,660,617,594,620
1700021N21Rik,0,0,0,0,1,0,0,1
1700022I11Rik,0,0,1,1,0,0,0,0
1700022N22Rik,8,5,1,4,18,9,9,14
1700023F06Rik,0,0,0,2,0,0,0,0
1700023H06Rik,1,6,3,2,0,1,3,1
1700024P04Rik,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,1,0,0,0,0
1700025F24Rik,0,0,1,0,0,0,0,0
1700025G04Rik,21,38,24,39,629,542,619,671
1700025N21Rik,0,0,0,0,0,0,0,0
1700025N23Rik,1,0,0,1,0,0,0,0
1700026D08Rik,0,0,0,0,0,0,0,0
1700026D11Rik,4,2,1,4,3,4,2,5
1700026L06Rik,0,1,0,0,0,0,1,0
1700027A07Rik,0,0,0,0,0,0,0,0
1700027F09Rik,6,12,10,7,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0
1700028E10Rik,190,138,133,101,109,49,51,46
1700028I16Rik,0,0,0,1,0,0,0,0
1700028J19Rik,5,12,15,7,16,8,7,15
1700028K03Rik,0,2,0,0,2,0,0,0
1700028N14Rik,0,1,3,2,2,0,3,2
1700029H14Rik,0,0,0,1,4,3,1,1
1700029I15Rik,61,57,58,52,9,14,16,20
1700029J03Rik,3,2,4,18,0,0,2,3
1700029J07Rik,85,58,70,62,27,26,31,47
1700029M03Rik,0,0,0,0,0,0,0,0
1700029M20Rik,1,2,8,4,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0
1700030C10Rik,10,13,13,7,15,4,11,3
1700030C12Rik,2,1,0,0,2,2,4,0
1700030C14Rik,0,0,2,1,0,0,0,0
1700030J22Rik,15,7,13,12,6,3,4,3
1700030K09Rik,148,151,107,124,122,117,88,105
1700030O20Rik,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,2
1700031M16Rik,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0
1700034H15Rik,17,18,15,13,11,14,11,15
1700034I23Rik,0,0,0,1,0,0,0,0
1700034O15Rik,0,0,0,1,2,0,0,0
1700034P13Rik,1,1,1,1,0,0,0,0
1700037C18Rik,80,101,73,84,85,71,64,76
1700037F24Rik,1,0,0,0,0,0,0,0
1700037H04Rik,419,375,381,373,342,267,264,312
1700039E15Rik,0,1,0,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0,0
1700040D17Rik,1,4,3,5,5,6,1,5
1700040L02Rik,30,36,25,26,27,18,16,12
1700041G16Rik,13,13,11,14,4,5,10,6
1700042O10Rik,3,2,3,2,5,3,1,6
1700047K16Rik,1,2,0,0,0,1,4,1
1700047M11Rik,0,0,0,0,0,0,0,0
1700048O20Rik,24,21,20,18,3,1,3,4
1700049G17Rik,228,175,201,171,169,138,110,129
1700049J03Rik,0,1,0,0,0,0,0,0
1700051O22Rik,1,1,0,0,0,1,1,0
1700052I22Rik,0,0,0,0,0,0,0,0
1700052K11Rik,144,131,119,131,104,99,89,98
1700055D18Rik,8,8,5,6,4,10,10,7
1700056E22Rik,18,9,13,13,56,45,43,32
1700056N10Rik,17,7,17,14,13,21,22,8
1700057G04Rik,0,0,0,1,0,0,0,0
1700057H21Rik,0,0,1,0,0,0,0,0
1700058P15Rik,0,0,0,0,0,0,0,0
1700061F12Rik,2,0,0,2,0,0,0,0
1700061G19Rik,0,1,1,0,5,1,1,4
1700063D05Rik,8,17,24,12,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0
1700064H15Rik,1,0,0,1,0,0,0,0
1700064M15Rik,1,0,0,0,0,0,0,0
1700065D16Rik,2,2,0,1,1,1,2,2
1700066B17Rik,1,0,2,0,0,0,0,0
1700066B19Rik,20,21,24,23,33,28,23,26
1700066J03Rik,0,0,0,0,0,0,0,0
1700066M21Rik,327,344,343,358,219,206,193,211
1700066O22Rik,0,0,0,0,0,0,0,0
1700067K01Rik,10,5,8,5,4,4,7,10
1700069B07Rik,0,0,0,0,0,0,1,0
1700071K01Rik,0,0,0,0,0,0,0,0
1700072G22Rik,0,0,0,0,1,0,0,2
1700073E17Rik,1,0,0,0,0,0,1,1
1700074A21Rik,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0
1700082M22Rik,0,0,0,1,0,1,0,0
1700084C06Rik,3,2,5,5,10,4,4,4
1700084E18Rik,6,11,7,8,17,23,11,12
1700084J12Rik,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0
1700086O06Rik,17,15,8,4,13,10,6,6
1700086P04Rik,1,2,2,0,0,0,0,1
1700088E04Rik,2,0,3,3,1,1,0,0
1700092C02Rik,0,0,0,0,0,0,1,0
1700092C10Rik,0,1,0,0,0,0,0,0
1700092M07Rik,3,3,4,2,1,6,4,2
1700093J21Rik,1,0,0,2,1,1,1,2
1700093K21Rik,0,0,0,0,1,0,0,0
1700094J05Rik,0,0,0,0,0,0,0,0
1700096K18Rik,45,47,27,28,64,35,53,40
1700097N02Rik,26,40,15,41,87,69,91,74
1700099I09Rik,0,0,0,0,0,0,0,0
1700101E01Rik,12,12,9,10,4,5,6,8
1700101I11Rik,0,1,1,0,0,0,0,0
1700102P08Rik,19,24,27,32,28,34,41,56
1700104B16Rik,0,0,0,0,0,2,0,0
1700105P06Rik,0,1,1,2,1,0,1,1
1700106J16Rik,0,0,1,0,0,0,0,0
1700108F19Rik,0,1,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0
1700109H08Rik,83,41,49,47,69,49,66,64
1700110C19Rik,3,3,3,3,1,2,1,2
1700110I01Rik,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0,0
1700110K17Rik,0,2,0,1,0,0,0,0
1700111N16Rik,0,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,2,0,0,0,1
1700112E06Rik,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,1,0,0,0,0
1700112J16Rik,0,0,1,0,0,0,1,0
1700113A16Rik,40,59,32,44,67,70,44,41
1700113H08Rik,0,0,0,1,0,0,0,0
1700120B22Rik,3,0,0,0,1,1,0,0
1700120C14Rik,6,13,5,13,17,12,13,12
1700120K04Rik,0,0,0,0,1,0,0,1
1700122E12Rik,1,2,0,1,2,1,2,2
1700122O11Rik,0,0,0,0,0,0,0,0
1700123M08Rik,20,8,15,18,18,14,13,12
1700123O12Rik,0,0,0,0,0,0,0,0
1700123O20Rik,756,814,736,746,898,849,900,855
1700124L16Rik,8,7,0,5,2,1,1,2
1700125G22Rik,0,1,0,0,0,0,0,0
1700125H03Rik,0,0,0,0,1,0,0,0
1700125H20Rik,0,0,0,0,0,0,0,0
1810006J02Rik,151,191,137,124,71,96,81,91
1810008B01Rik,1,1,1,0,1,0,0,0
1810008I18Rik,0,0,0,0,1,0,0,0
1810009A15Rik,25,22,24,26,16,11,15,15
1810009J06Rik,20,20,13,4,0,0,0,0
1810010H24Rik,15,7,7,6,10,3,3,6
1810011H11Rik,14,37,16,29,3,4,3,7
1810011O10Rik,0,0,3,0,0,0,0,0
1810012K08Rik,1,0,0,0,0,0,0,2
1810012K16Rik,4,0,1,4,4,4,3,2
1810013L24Rik,1431,1373,1413,1385,1558,1353,1446,1553
1810014B01Rik,49,54,51,53,102,87,85,81
1810019D21Rik,0,1,1,0,1,0,0,0
1810019N24Rik,6,5,8,4,5,7,4,4
1810020O05Rik,0,0,0,0,2,1,1,1
1810021B22Rik,8,11,9,10,14,4,11,12
1810022K09Rik,306,406,317,352,425,336,365,374
1810024B03Rik,14,24,13,15,18,15,19,16
1810026B05Rik,1223,1165,1037,1215,1182,1184,1204,1279
1810026J23Rik,990,981,987,977,998,1010,916,923
1810030O07Rik,1669,1699,1630,1638,1402,1281,1339,1333
1810032O08Rik,201,211,193,208,293,311,292,288
1810034E14Rik,123,121,105,131,244,200,236,214
1810037I17Rik,405,527,443,456,445,373,420,395
1810041H14Rik,15,23,16,15,118,118,98,88
1810041L15Rik,7,2,3,7,0,0,0,0
1810043G02Rik,249,244,188,208,118,88,88,104
1810043H04Rik,201,283,196,229,223,211,199,203
1810044D09Rik,17,15,15,18,23,15,14,19
1810046K07Rik,2,0,1,1,0,0,0,0
1810049J17Rik,5,3,5,7,5,3,7,5
1810053B23Rik,0,0,1,0,0,0,0,0
1810055G02Rik,147,183,160,162,83,80,92,81
1810058I24Rik,692,871,754,790,911,747,759,698
1810059C17Rik,1,2,0,1,2,1,0,3
1810062G17Rik,5,21,20,15,29,19,16,12
1810062O18Rik,42,47,30,60,52,30,31,46
2010001A14Rik,75,54,57,41,74,41,40,33
2010001E11Rik,0,0,0,0,1,0,0,0
2010002M12Rik,31,34,26,11,108,77,66,91
2010005H15Rik,20,22,26,15,1,1,1,1
2010007H06Rik,205,152,194,201,10,12,7,9
2010010A06Rik,0,0,0,0,0,0,0,0
2010012O05Rik,92,93,94,102,107,95,93,95
2010013B24Rik,0,0,0,0,0,1,2,0
2010015M23Rik,3,4,9,6,10,11,5,11
2010016I18Rik,8874,7466,7984,8232,2876,3195,2743,3450
2010107E04Rik,600,739,593,616,1043,970,898,863
2010107G12Rik,12,8,13,3,14,10,14,10
2010107G23Rik,189,182,165,108,4,2,4,4
2010109A12Rik,4,3,2,7,8,11,4,9
2010109I03Rik,144,75,73,71,4,4,3,2
2010110E17Rik,3,0,0,0,0,1,0,0
2010110K18Rik,0,1,3,2,0,0,0,0
2010111I01Rik,696,780,709,674,507,490,568,590
2010204K13Rik,19,21,11,10,39,29,25,22
2010300C02Rik,79,62,41,46,31,20,17,24
2010300F17Rik,1,2,1,3,1,3,0,1
2010308F09Rik,0,0,0,0,0,0,0,0
2010310C07Rik,0,0,0,1,2,1,1,1
2010315B03Rik,647,552,498,506,690,512,440,452
2010320M18Rik,57,57,49,41,52,49,54,63
2200002D01Rik,25,14,14,16,27,26,33,25
2210008F06Rik,0,0,0,2,1,1,1,1
2210010C04Rik,2,6,6,2,1,1,1,2
2210011C24Rik,11,12,10,15,0,0,0,0
2210013O21Rik,349,377,333,328,139,160,177,147
2210015D19Rik,147,175,145,152,247,216,234,191
2210016F16Rik,1013,1112,988,946,902,798,763,721
2210016L21Rik,663,723,636,655,612,602,636,616
2210018M11Rik,1585,1495,1705,1587,1438,1396,1344,1560
2210404O09Rik,274,319,295,289,232,184,183,212
2210406O10Rik,1,1,2,0,1,4,0,0
2210408F21Rik,29,23,25,26,0,0,0,0
2210408I21Rik,28,25,38,34,23,13,13,23
2210411M09Rik,0,0,0,0,0,2,1,0
2210414B05Rik,0,0,0,0,0,0,0,0
2210417A02Rik,35,30,28,35,0,0,3,2
2300005B03Rik,0,0,0,0,0,0,0,0
2300009A05Rik,166,166,143,154,268,209,211,217
2310001H17Rik,2328,2144,2221,2049,316,324,274,302
2310001K24Rik,0,0,0,0,0,0,0,0
2310002F09Rik,12,13,10,10,7,4,3,3
2310003H01Rik,484,564,501,535,565,557,519,525
2310007L24Rik,0,0,0,0,1,0,1,0
2310009A05Rik,170,207,155,174,176,150,188,178
2310009B15Rik,32,67,49,53,86,63,66,78
2310010G23Rik,8,3,9,10,13,7,5,2
2310010J17Rik,43,54,36,39,70,53,67,60
2310011J03Rik,760,954,710,749,975,828,855,827
2310014F06Rik,0,0,0,0,0,0,0,0
2310015A10Rik,1766,1252,1220,1224,195,169,133,154
2310015D24Rik,0,0,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0,0,0
2310016D23Rik,11,10,9,10,5,8,10,4
2310022A10Rik,600,643,546,594,670,597,572,589
2310022B05Rik,400,538,488,573,260,230,247,215
2310026I22Rik,4,1,0,1,2,0,1,0
2310026L22Rik,0,0,0,0,0,0,0,0
2310030G06Rik,0,0,0,0,0,0,0,0
2310031A07Rik,20,26,25,27,7,4,1,4
2310033P09Rik,432,477,429,427,503,429,446,435
2310034G01Rik,3,2,3,2,3,2,4,2
2310035C23Rik,1642,1485,1514,1470,1494,1356,1332,1481
2310036O22Rik,2133,2483,2258,2194,2483,2198,2272,2219
2310039H08Rik,105,141,99,91,234,191,189,161
2310040G24Rik,1,0,1,1,2,1,5,5
2310043L19Rik,1,2,0,2,0,0,0,0
2310043M15Rik,0,2,0,1,2,1,0,3
2310043O21Rik,0,0,0,0,2,0,1,0
2310044K18Rik,15,11,6,11,8,5,9,9
2310045N01Rik,755,937,808,902,652,620,612,687
2310047D07Rik,3,2,1,0,3,5,3,0
2310047M10Rik,497,492,420,447,327,264,289,235
2310057M21Rik,154,198,181,153,223,208,176,222
2310058D17Rik,50,51,51,64,74,81,72,97
2310061I04Rik,456,571,516,518,524,546,533,545
2310067B10Rik,2679,2719,2580,2827,1584,1343,1288,1419
2310068J16Rik,0,1,0,1,3,1,1,1
2310069G16Rik,0,0,0,0,0,0,0,0
2310075C17Rik,0,0,0,0,0,0,0,0
2410002F23Rik,1152,1122,1074,1073,1460,1211,1325,1326
2410003L11Rik,2,0,1,2,0,1,7,0
2410004B18Rik,333,335,348,313,353,318,380,371
2410004P03Rik,18,9,19,23,19,4,4,5
2410006H16Rik,692,987,836,860,1295,1622,1458,1243
2410012M07Rik,0,0,0,0,0,0,0,0
2410015M20Rik,709,913,744,733,961,889,963,900
2410016O06Rik,550,580,532,554,639,624,640,645
2410017I17Rik,0,0,0,0,0,1,1,0
2410018L13Rik,0,0,0,3,0,2,0,1
2410022M11Rik,96,92,75,82,72,67,61,41
2410080I02Rik,0,1,1,0,0,0,0,0
2410089E03Rik,1155,843,1053,974,1023,733,798,868
2410127L17Rik,75,66,69,67,97,85,70,89
2410131K14Rik,456,478,463,474,617,538,571,557
2500002B13Rik,8,15,17,8,9,3,10,17
2500004C02Rik,49,65,41,47,31,39,25,30
2510002D24Rik,478,612,505,534,613,510,501,499
2510009E07Rik,331,261,274,239,295,243,192,223
2510039O18Rik,1970,2040,1924,1878,2169,2058,2029,2156
2510046G10Rik,19,27,14,18,55,39,47,43
2600006K01Rik,0,1,4,1,0,0,0,0
2600014E21Rik,3,7,0,3,1,2,0,1
2610001J05Rik,530,613,508,500,516,478,464,442
2610002J02Rik,982,1146,981,952,1053,855,922,900
2610002M06Rik,1049,1109,1047,1009,1253,1060,960,978
2610005L07Rik,76,52,59,53,54,47,51,47
2610008E11Rik,869,879,848,868,756,607,580,628
2610015P09Rik,196,200,188,162,170,158,128,123
2610016A17Rik,0,0,0,0,0,0,0,0
2610020C07Rik,15,14,13,14,13,7,14,11
2610020H08Rik,212,268,248,254,342,395,369,430
2610021A01Rik,681,603,620,691,588,523,503,548
2610024D14Rik,1,2,1,0,1,0,0,0
2610027K06Rik,0,0,0,0,0,0,0,0
2610034B18Rik,3,1,0,0,0,0,0,0
2610035D17Rik,938,1157,711,799,711,608,402,378
2610037D02Rik,39,26,42,39,47,41,38,57
2610042L04Rik,24,40,22,31,0,1,0,1
2610044O15Rik8,512,465,476,463,486,430,510,521
2610203C22Rik,0,0,0,0,0,0,0,0
2610204G07Rik,217,169,185,159,7,2,2,3
2610206C17Rik,5,4,3,4,1,4,3,2
2610301B20Rik,415,359,400,336,184,125,139,120
2610305D13Rik,0,0,0,0,0,0,0,0
2610306M01Rik,49,34,34,35,41,41,33,28
2610307P16Rik,3,6,4,4,10,8,10,7
2610318N02Rik,38,38,32,30,20,20,14,15
2610507B11Rik,5309,4639,4842,4893,6177,5627,5479,6287
2610507I01Rik,143,110,124,120,183,153,152,150
2610509F24Rik,0,0,1,0,3,1,3,4
2610524H06Rik,235,202,189,171,161,105,99,86
2610528A11Rik,2,1,1,1,4,2,0,0
2700012I20Rik,7,7,3,8,6,6,5,15
2700016F22Rik,2,5,1,3,2,3,2,1
2700029M09Rik,553,589,491,503,547,502,470,467
2700038G22Rik,19,37,41,48,55,61,63,82
2700046G09Rik,6,7,8,1,18,8,8,4
2700049A03Rik,456,408,361,446,517,431,427,365
2700060E02Rik,1280,1600,1304,1321,1532,1480,1416,1335
2700062C07Rik,231,301,224,246,228,189,173,187
2700068H02Rik,0,0,0,0,0,1,0,4
2700078F05Rik,0,0,0,0,0,0,0,0
2700081O15Rik,20,14,24,8,10,13,10,9
2700094K13Rik,296,385,302,306,511,435,435,413
2700097O09Rik,289,266,284,269,161,151,142,156
2700099C18Rik,43,28,37,32,23,18,18,21
2810001G20Rik,101,154,124,143,710,491,550,479
2810002D19Rik,154,169,137,153,175,134,125,130
2810004N23Rik,364,370,327,387,527,500,458,508
2810006K23Rik,198,252,193,214,196,165,159,160
2810013P06Rik,225,290,212,244,427,371,357,317
2810021J22Rik,388,433,438,468,399,379,374,373
2810025M15Rik,1,6,0,0,0,1,0,0
2810029C07Rik,35,18,14,22,7,7,10,11
2810030D12Rik,2,0,1,0,0,0,0,0
2810032G03Rik,0,0,0,0,0,0,0,0
2810039B14Rik,128,132,137,136,31,24,24,26
2810402E24Rik,111,98,86,109,92,90,77,87
2810403A07Rik,2387,2206,2185,2397,2433,2323,2232,2537
2810403D21Rik,76,61,83,60,67,48,40,34
2810404F17Rik,0,0,0,1,0,0,0,0
2810405F17Rik,6,19,8,16,21,21,23,27
2810407A14Rik,1,2,0,0,0,0,0,0
2810408A11Rik,21,34,36,26,89,61,73,66
2810408I11Rik,4,5,5,4,16,15,15,18
2810410L24Rik,1,0,0,0,26,8,11,13
2810414N06Rik,46,25,30,25,31,20,25,21
2810417H13Rik,107,82,62,83,8,8,12,1
2810425M01Rik,0,3,1,0,0,0,1,0
2810428I15Rik,403,486,367,434,552,479,473,460
2810429I04Rik,42,29,48,44,3,1,0,4
2810433D01Rik,0,0,0,0,0,0,0,0
2810442N19Rik,0,0,0,0,0,0,0,0
2810454H06Rik,25,35,24,29,33,24,20,25
2810455O05Rik,42,49,44,50,46,32,38,30
2810459M11Rik,2,2,0,0,0,2,1,0
2810468N07Rik,13,15,19,17,1,2,0,2
2810474O19Rik,2877,3103,3078,3196,3775,3600,3452,3851
2900005J15Rik,67,59,61,56,104,109,90,91
2900009J06Rik,0,0,0,0,1,1,0,0
2900011O08Rik,1,1,2,1,0,1,0,3
2900018N21Rik,0,0,0,0,0,0,0,0
2900026A02Rik,415,289,415,244,4,4,5,8
2900041M22Rik,7,10,7,11,2,3,5,7
2900052L18Rik,0,0,0,0,0,0,0,0
2900052N01Rik,0,0,1,1,0,0,0,0
2900055J20Rik,0,0,0,0,0,0,0,0
2900076A07Rik,185,184,166,194,113,122,125,166
2900079G21Rik,0,0,0,0,1,0,0,0
2900089D17Rik,3,5,3,2,2,2,3,2
2900092O11Rik,0,0,0,0,0,0,0,0
2900093K20Rik,8,14,21,15,29,32,23,44
2900097C17Rik,171,145,156,130,153,141,143,146
3000002C10Rik,61,59,62,57,54,43,30,46
3010001F23Rik,0,0,1,0,2,0,0,1
3010003L21Rik,9,9,7,8,6,1,7,9
3010026O09Rik,81,74,56,74,73,47,41,35
3110001I22Rik,87,116,122,107,149,139,140,142
3110002H16Rik,1107,1371,1175,1365,1585,1452,1416,1674
3110009E18Rik,46,61,43,45,70,79,75,63
3110021A11Rik,3,1,0,0,0,0,0,1
3110040N11Rik,314,363,338,302,335,325,321,344
3110043O21Rik,306,288,304,305,238,190,194,197
3110045C21Rik,0,0,2,1,3,7,4,2
3110052M02Rik,199,184,199,192,161,183,161,211
3110053B16Rik,90,59,63,76,47,55,48,47
3110056K07Rik,237,239,226,239,275,262,288,371
3110057O12Rik,232,249,248,231,280,239,211,213
3110062G12Rik,0,0,0,2,0,0,0,0
