Unnamed: 0,stat,padj,log2FC_TCvsB6
Gm2381,-7.78168,0.000277574,-0.513707
5330416C01Rik,7.74447,0.000278184,0.336948
Nomo1,-7.52013,0.000286408,-0.26278
Zcchc9,-7.85959,0.00029824,-0.573795
Bcam,-8.22431,0.00030224,-0.591352
Rgs3,8.54103,0.000304577,0.356212
Spry1,7.51133,0.000308303,0.424616
Pdcd5,-7.66184,0.000309141,-0.280516
Nt5c1a,10.7449,0.000310916,0.729537
Gm10472,7.83053,0.000314856,0.289959
Ighv3-4,-8.11734,0.000319837,-2.76747
Slamf6,-7.41732,0.000335105,-0.525858
Fgd6,8.42787,0.000337533,0.495692
Gfod2,7.42517,0.000361158,0.13302
4930404A12Rik,-7.42194,0.000366004,-0.177479
Alad,7.37088,0.000371029,0.547642
Mfge8,7.59875,0.000371152,0.665688
Gm13160,-8.60156,0.000381199,-0.353814
Slc38a6,7.17124,0.000383612,0.293145
A530010L16Rik,7.82801,0.000415226,0.429228
Gm3962,-7.49711,0.000417662,-0.331739
Plagl1,7.8215,0.000421545,0.753248
Hdac9,-7.0063,0.000427121,-0.393315
Kcnq4,7.7198,0.000428002,0.261215
Fuz,-12.2602,0.000442119,-0.324564
Hpcal4,7.07639,0.000457023,0.655757
Gm10466,7.17257,0.000462492,0.329928
Gm4956,-7.34859,0.000477763,-1.40544
Igkv4-55,-7.00513,0.000482771,-4.17471
Nrros,-8.86441,0.000498796,-0.414558
Pkd1,6.87385,0.000504826,0.16657
Serinc5,-6.99241,0.000512243,-0.683858
Sash1,7.35493,0.000518797,0.351782
Cxxc5,6.81691,0.000521125,0.43131
Gm10476,8.039,0.000533042,0.174741
AU020206,6.90859,0.000558088,0.298647
Gpr119,9.11983,0.000569083,0.32346
Klk1b11,-6.75438,0.00058224,-0.373307
Pdzrn3,6.61466,0.000586202,0.821498
Chn2,7.23754,0.000587904,0.521655
Gfra4,6.77419,0.000602278,0.551191
Il4,8.1132,0.000602698,1.08681
Fezf2,6.79333,0.000604657,0.216616
Mtus1,7.8543,0.000607183,1.2721
Agbl1,10.2438,0.000629384,0.575871
Pde11a,-6.50203,0.000634054,-0.614081
Klf14,6.84118,0.000640772,0.318757
Hdac4,6.96714,0.000645456,0.17465
Bace1,6.45615,0.000660489,0.174058
F2rl1,-7.63702,0.000672673,-0.796844
Zfp658,9.48795,0.000676241,0.333062
Cobl,-6.57225,0.000677573,-0.567339
Fam69c,6.65393,0.000678345,0.292783
Rpl31-ps15,-7.82375,0.000684386,-0.127223
Myo1f,-11.3356,0.000684421,-0.447129
Ighv1-63,-6.5845,0.000695425,-1.0308
Klk1b27,-9.74485,0.000698932,-1.36503
Tmco1,6.82982,0.000699041,0.39317
Edem1,-9.62733,0.000713756,-0.492606
Tlr4,6.43968,0.000719369,0.525135
Dhx29,-6.55622,0.000735896,-0.259463
Mtfr2,-7.07172,0.000738685,-0.356942
Zfp74,6.81525,0.00074163,0.382945
Gm13256,7.34361,0.00074969,0.273619
Slc1a4,6.39739,0.000773059,1.04635
Ptprj,6.51212,0.000777267,0.540043
Pbx3,6.22116,0.000806695,0.38877
Ivd,-6.18909,0.000819332,-0.231115
Erap1,-6.23561,0.000821996,-0.355246
Gm10688,-6.79797,0.000823813,-0.594221
Arrdc4,8.02341,0.000851695,0.698255
Igkv4-71,-6.14189,0.000853836,-3.54648
Gm3213,6.15216,0.000856956,0.175842
Muc20,7.39629,0.000891645,0.615147
Tmc3,6.17527,0.00090305,0.267077
Dhdh,11.2381,0.000910664,1.00324
Gm19684,6.42988,0.000915872,0.180151
Megf8,6.49817,0.000918272,0.295405
Ighv1-2,-6.51093,0.000923312,-2.37488
Gcat,-6.05609,0.000925447,-0.110812
Grik5,-8.54804,0.000928438,-0.22668
Gm5432,7.38178,0.000938228,0.149516
Arl5a,7.72123,0.000940394,0.457345
Dusp4,6.08397,0.000964057,0.578957
Gm5620,-5.98514,0.000977163,-0.236425
Olfr599,6.14749,0.000981245,0.239865
4933439K11Rik,7.3761,0.000983707,0.205146
Gzma,6.95239,0.000989503,1.23045
Mier3,-6.27583,0.000990839,-0.411169
Gm498,6.00727,0.000991784,0.110972
Cd109,5.96684,0.00101079,1.29872
Gm13767,8.2595,0.00101692,0.658614
Irf6,-6.27207,0.00103301,-0.299701
Gm14466,6.08048,0.00103804,0.934664
1700047I17Rik2,-5.89091,0.00106352,-0.529924
Dmpk,5.88899,0.00106562,0.218886
Olfr373,6.63459,0.0010852,1.12107
Trpm6,7.03194,0.00111147,0.865277
Pak6,5.83225,0.0011198,0.189913
Eps8l1,-12.2224,0.00115274,-1.85479
Noxo1,5.81503,0.00115283,0.20315
Gm4665,6.09049,0.0011564,0.313335
Gm7741,5.92028,0.00115769,0.197782
Gca,5.94584,0.00119209,0.663367
Igkv4-59,-6.17754,0.00124816,-3.81612
Cpt1c,23.8463,0.00125518,1.60551
Chrnb1,6.97425,0.00128092,0.131402
Slc2a4rg-ps,6.06195,0.00129262,0.543194
Gm24747,5.867,0.00129959,0.337495
2310016G11Rik,5.69224,0.00131445,0.136162
Trps1,5.74075,0.00131691,0.248036
Bub1b,-5.8558,0.00131821,-0.798061
Igkv4-72,-5.78092,0.00133083,-3.76884
Gm1972,-6.20606,0.001337,-0.26004
Igkv5-39,-5.97717,0.00133883,-4.51452
Ak2,-5.7835,0.00134194,-0.240322
Gm14359,-5.98565,0.0013504,-0.271157
Zfp14,6.27792,0.00138253,0.504537
Saal1,-5.59211,0.0013916,-0.25317
Igkv4-54,-5.55022,0.00147465,-3.48407
Hsd17b7,5.91444,0.00149462,0.410311
LOC100503338,5.56026,0.0014967,0.315769
Cx3cr1,5.58064,0.00150066,0.518573
Gm13232,-6.08384,0.00150608,-0.338838
Gm26567,-5.77576,0.00153122,-0.373403
Akr1c13,5.78263,0.00155911,0.35156
Ighv8-4,-6.40409,0.00156713,-0.525923
2410018L13Rik,6.66248,0.00161628,0.370698
Prkcz,5.61384,0.00163412,0.117969
Foxj1,6.29468,0.00167287,0.37721
Gm11824,-5.79828,0.00167557,-0.159124
Lamb3,-6.3122,0.00167988,-0.358387
Gm25643,5.41433,0.00168752,0.288833
Arid5b,6.41297,0.00174215,0.210987
Sec16b,-5.51858,0.00174523,-0.211179
Igkv4-57,-5.88028,0.00177155,-3.67082
Rad51b,-5.32653,0.00178498,-0.281492
Arl6ip1,-5.93106,0.00178697,-0.229528
Jak3,5.91936,0.00179505,0.368482
Gm12963,5.32029,0.00180865,0.160969
Vmn2r46,-7.56973,0.00181169,-0.351946
Ltk,5.33275,0.0018206,0.326649
Rars,-5.53335,0.00182662,-0.270383
Gm13733,5.43638,0.00183077,0.148403
Nnt,5.68408,0.00184207,0.408378
Slamf1,-5.38479,0.00186404,-0.399097
Spata13,5.27944,0.00186822,0.172594
Pepd,6.37517,0.00187016,0.205198
Desi2,-6.47573,0.0018796,-0.473544
Padi4,5.28804,0.00189214,0.877216
Spint1,5.54623,0.00189866,0.447896
A930007I19Rik,5.26995,0.00191313,0.13175
Scimp,5.32312,0.0019398,0.394562
Olfr372,5.62137,0.00194689,1.31612
Zdhhc21,5.50766,0.00195469,0.215193
Phlpp1,6.11503,0.00195719,0.275297
Camk1,5.22955,0.00196277,0.179025
Arhgap24,5.61137,0.00198488,0.190158
St3gal3,-5.75751,0.00198986,-0.306353
Leprel1,5.23652,0.00199707,0.373134
Fabp3,5.21832,0.0020001,0.419177
Rab4a,5.22985,0.00200705,0.842672
3110053B16Rik,5.23984,0.00201628,0.185748
Cacna1d,5.20308,0.00203305,0.458005
Sbsn,-5.26941,0.00203851,-0.476528
Gramd1a,5.26112,0.00204767,0.643732
5830416I19Rik,-6.38575,0.00205433,-1.12626
F2rl2,-5.5992,0.00207786,-0.482245
Cyr61,5.20924,0.00207895,0.187611
Gm15162,5.21715,0.00208524,0.199769
Ddc,-7.67122,0.00208674,-0.572924
Blmh,-5.86916,0.00208723,-0.122787
Nlrp1b,-5.5169,0.00208795,-0.233092
Maged1,6.39644,0.00208942,0.352959
Pgm1,-5.17081,0.00210745,-0.273138
5730507C01Rik,6.21267,0.00212199,0.325422
Qpctl,-5.16863,0.00212599,-0.56845
Gm18191,-5.26219,0.00219407,-0.407299
4930433N12Rik,5.19122,0.00219826,0.276746
Ppt2,5.38916,0.0022021,0.161135
Rpl31-ps23,-7.94659,0.00220828,-0.98536
Casc5,-5.21749,0.0022276,-0.580667
Gm26715,6.39214,0.0022353,0.3835
Zfp82,-5.09463,0.0022385,-0.386701
Gm2762,5.86869,0.00226188,0.354144
Ccnb1,-6.57298,0.0022715,-0.609954
Gm16531,-5.81933,0.00229299,-0.285382
Gm13768,5.04254,0.00235278,0.397473
Mlh3,-5.18303,0.00235587,-0.185547
Mir22,5.63552,0.00236976,0.192283
Gm5560,-5.60667,0.00238119,-0.215305
Gm23674,5.1362,0.0023825,0.456492
Ppap2a,-5.98314,0.00240115,-0.431856
Alms1-ps1,5.37477,0.0024207,0.463041
Gm15643,5.03617,0.00242237,0.541383
Arl6ip4,-5.01484,0.00243821,-0.141285
Zgrf1,-5.01954,0.00244134,-0.130888
Olr1,5.37134,0.00244544,0.360618
Rrm1,-5.98794,0.00246772,-0.330639
LOC100048813,6.28087,0.0024833,0.495505
Fam71b,6.28622,0.00252382,0.685183
Tead1,5.62988,0.00252449,0.617104
6530437J22Rik,4.97076,0.00253001,0.454601
Mir692-1,-5.01616,0.00254639,-0.422273
Mpg,-5.21201,0.00255453,-0.343898
Maml3,4.97649,0.0025623,0.188845
Cistr-act,4.94175,0.002607,0.155085
Fanci,-5.78589,0.00260783,-0.293754
1700052I22Rik,6.79874,0.00260926,0.359347
Alms1,5.10303,0.00261775,0.35448
Cmss1,6.33507,0.00262765,0.391262
Cmc1,-5.47614,0.00265521,-0.150279
Cyp4f18,5.77909,0.00267367,1.39482
Gm8202,-6.66087,0.0026778,-0.517356
Gm5976,5.94841,0.0026782,0.261759
H2-Q2,-5.98479,0.00269114,-0.335362
Liph,5.56405,0.00269472,0.41539
Prss12,5.83574,0.00271412,0.349724
Gm9312,5.89593,0.00271635,0.307845
Rab3gap2,-4.93187,0.00272369,-0.28883
Rnf112,5.06509,0.00275353,0.16562
5031414D18Rik,4.98661,0.00277528,0.296134
Fmn1,6.29852,0.00279525,0.476151
Atn1,6.60251,0.0028132,0.19433
1700047I17Rik2,-4.86312,0.00281694,-0.465952
Gm19897,-5.4681,0.00282764,-0.678985
Btbd18,5.01024,0.00283139,0.168811
S1pr3,5.33557,0.00283256,0.395236
Rbm45,-6.31645,0.00286533,-0.503228
Zfp180,-4.96023,0.00286616,-0.43806
Ttk,-4.88457,0.00287748,-0.503375
Catsperg2,5.04779,0.0028892,0.246811
Rif1,-4.87803,0.00289749,-0.448552
Wdr53,-4.86759,0.00290304,-0.139995
Lbr,-4.9488,0.00291976,-0.322626
Gm18953,5.52381,0.0029212,0.711774
Gm10101,6.40193,0.0029393,0.472041
Gm5187,4.90363,0.00295316,0.275955
Gm3993,4.80671,0.00298035,0.280764
Ccr6,-5.20902,0.00303853,-0.521354
Gm25430,4.84046,0.00304219,0.242079
Irf3,-6.25042,0.003047,-0.348457
Igf2,5.51618,0.00306648,0.159117
Nsun2,-5.14926,0.00308266,-0.2381
Rdx,-5.26753,0.00310111,-0.115177
Gm19299,5.32891,0.00310763,0.182594
Gal3st1,4.82762,0.00311388,0.17326
Cyp51,-4.76281,0.00312145,-0.31655
Apol7a,4.98012,0.00312333,0.167537
C630016N16Rik,-7.29964,0.00315431,-0.298274
4931440F15Rik,4.85635,0.00316742,0.358691
Isoc2b,5.98019,0.00317273,0.344661
Gm13624,-4.73835,0.00319827,-0.222926
Irf2,5.56005,0.00320694,0.237433
BC030500,6.81444,0.00320719,0.235045
Gigyf1,4.73629,0.00321332,0.146876
Ntf5,5.17127,0.00321556,0.411433
Sgms1,-4.85676,0.00322574,-0.100255
Calm3,-4.75015,0.00323443,-0.330873
Trpm1,4.83064,0.00323765,0.142764
Ldha,-6.8367,0.00324143,-0.505195
Gm5848,5.30473,0.003243,0.267976
Igkv4-69,-6.52225,0.00326871,-4.27503
Pstpip2,6.09115,0.00328137,0.681397
Nuf2,-6.31896,0.00329067,-0.583236
Cep85,7.55041,0.00330954,0.093273
Gm12572,10.7069,0.0033429,0.641375
Apbb2,5.29946,0.00334624,0.278128
Gm6910,5.52845,0.00335315,0.426816
Fxyd5,6.63238,0.00337155,0.171708
Lyplal1,5.73595,0.00337647,0.846116
Lgmn,5.81933,0.00339903,1.05737
Gm23741,4.67821,0.00340236,0.362709
Gm13237,-5.10967,0.00340945,-0.317123
1110034G24Rik,4.68122,0.00342656,0.162899
Flrt2,4.66706,0.00344527,0.470466
Gm14794,-4.82223,0.00344849,-0.199248
Qsox1,-5.03635,0.003463,-0.194954
Rnu3b4,4.80712,0.00347292,0.32906
LOC435333,-6.65117,0.00348562,-3.55787
Gm18200,-5.71632,0.00348972,-0.429623
Gm18199,-5.71632,0.00348972,-0.429623
Kirrel3,5.83768,0.00350998,0.439864
Wnt5b,4.65241,0.00351192,0.185147
Ighv1-73,-6.37598,0.00354027,-1.97587
Tob2,4.65608,0.00354507,0.287849
Dip2c,5.16744,0.00356392,0.181776
2810047C21Rik1,-5.25982,0.00357526,-0.401441
Rasgrp4,-4.64596,0.00360477,-0.245165
Pttg1,-5.30741,0.00360838,-0.646625
Trav13n-4,5.20139,0.00362047,0.177882
Igkv4-62,-4.97091,0.00363012,-3.4798
4933430M04Rik,4.91564,0.00365187,0.160176
Gm8343,4.96374,0.00365882,0.142243
Zfp712,-4.74292,0.00366015,-0.341027
Slc43a3,-5.28818,0.00368315,-0.386094
Phgdh,-4.63473,0.00368689,-0.213666
Plekha2,-4.89816,0.00369115,-0.204371
Fbxo5,-6.72984,0.0037024,-0.315087
Impg1,4.60286,0.00370425,0.14384
Fancd2,-4.66659,0.00371426,-0.323981
Fzd4,4.92727,0.00372275,0.395479
Polr1b,-5.06604,0.0037332,-0.287915
Gm21082,5.99998,0.00373893,0.122358
Kmt2a,4.73873,0.00375621,0.167007
Gm13097,4.69547,0.0037585,0.148286
Zc3h7b,5.092,0.00376987,0.169856
9630013D21Rik,-4.58371,0.00378016,-0.316203
Gm13424,5.49879,0.00378021,0.15672
Igkv4-70,-5.61171,0.00378696,-2.481
Cdc26,-4.57881,0.00379609,-0.308511
Igkv4-50,-6.19572,0.00383048,-2.91193
Dpysl3,5.289,0.00385877,0.384611
Igkv4-61,-4.72911,0.00386156,-3.44623
Gm22987,4.56427,0.00386817,0.302203
Six5,6.70825,0.00386818,0.376238
9930022D16Rik,4.58239,0.003869,0.286502
Tex35,15.638,0.00387784,1.99939
Mfhas1,4.8063,0.00388789,0.275253
Hps5,-4.79983,0.00389183,-0.263915
Gm19980,4.59627,0.003916,0.585375
Gm16297,4.92436,0.00392974,0.325459
Ska2,-4.57126,0.00394328,-0.210378
Tshz3,4.5858,0.00394758,0.314051
Rpl31-ps20,-4.72062,0.00394838,-0.0575047
A730063M14Rik,4.76186,0.00395904,0.215753
Gm25969,4.62315,0.00397516,0.529769
Spatc1l,5.08067,0.00397562,0.157033
Krt42,5.44321,0.00398043,0.144706
Napb,4.55235,0.00398535,0.198322
Gm10433,4.69921,0.00399157,0.265869
Sfi1,4.63698,0.00401541,0.34786
Traj61,-4.69205,0.00403392,-0.626251
Abcb1a,-4.51985,0.00404953,-0.388219
Stt3b,-4.96683,0.00405802,-0.244953
Vmn2r-ps45,-4.89666,0.00405972,-0.341144
Rpl19-ps12,-4.52413,0.00406259,-0.0945864
Slc43a1,-4.51322,0.00406354,-0.915289
Mast4,4.51242,0.00406898,0.216529
Arhgap40,4.70016,0.00409105,0.282147
Gm6025,4.71631,0.00409248,0.41606
Setbp1,4.69054,0.00409567,0.262469
Srp54c,-4.95666,0.00412506,-0.523287
Ghsr,4.60135,0.00415216,0.189071
Gm4812,5.9044,0.00416208,0.287152
Hsf4,4.487,0.00417706,0.143739
Olfr899,4.59378,0.00418864,0.260875
Gfi1b,4.95735,0.00420571,0.114392
Clec4a1,5.03419,0.00423324,0.146113
Pcsk1,-4.61677,0.00423937,-0.915396
Gm14469,4.74673,0.00426526,0.957907
Tbc1d4,4.69104,0.00428655,0.241036
Heatr5a,5.97901,0.0042904,0.43352
Kpna2,-4.9287,0.00429632,-0.268617
Gm11447,4.47539,0.00429724,0.197421
Grpr,4.45882,0.00431438,0.167138
Cd86,-4.88219,0.0043146,-0.30839
Melk,-4.7019,0.00432732,-0.330249
5430417L22Rik,4.47902,0.00433276,0.507463
Nrbp2,4.63683,0.00434714,0.348859
Tyms,-5.3696,0.00434876,-0.22848
Polq,-4.92084,0.00440717,-0.235447
Gm16793,4.58281,0.00442687,0.170614
Ap4s1,-4.43509,0.00442832,-0.355347
Plekhm2,4.42919,0.00443063,0.102769
Hgsnat,-6.55085,0.00448266,-0.773959
Pou2f2,5.11297,0.00450957,0.43821
Fth-ps2,4.59902,0.00451225,0.304027
Mir6999,4.90792,0.00451684,0.461036
Sdcbp2,-5.48865,0.00452206,-0.355897
Espn,4.90458,0.00452362,0.108494
Igkv4-63,-4.82839,0.00453053,-3.3731
Gm9034,5.07495,0.00455169,0.207405
Ighv1-77,-5.78264,0.00457271,-3.70766
Rcan1,4.7567,0.00458341,0.622782
Vmn1r-ps107,-4.81398,0.004618,-0.220934
Znrf1,4.93881,0.00462981,0.287335
Angptl2,4.63505,0.00463224,0.351777
Ndrg4,4.39588,0.00466362,0.256935
Hist1h4m,-4.38211,0.00467383,-0.409372
Sult5a1,-4.37984,0.00468788,-0.079324
Cap2,4.52649,0.00472293,0.309524
Pvrl1,-4.55964,0.00472953,-0.253558
R3hcc1l,5.03773,0.00477343,0.154733
Wdr54,4.41113,0.00478761,0.2308
Gm25447,4.57447,0.00479303,0.59002
Trav11n,5.3198,0.00479504,0.547375
Fastkd1,-4.78208,0.00480803,-0.331006
Plk4,-5.17184,0.0048184,-0.192247
Lclat1,5.93024,0.00484243,0.2158
Gm12182,4.98768,0.00485142,0.194107
Csnk1e,4.46171,0.00485276,0.114912
Nrgn,4.33956,0.0048777,0.32576
Ndufa4l2,4.60005,0.0048784,0.28068
Ighv1-71,-5.89923,0.00487998,-5.01966
Ighv1-62-2,-5.89923,0.00487998,-5.01966
Lysmd2,4.52004,0.00488541,0.293307
Dab2ip,4.33757,0.0048884,0.187171
Cpvl,4.58626,0.00489973,0.274066
Fah,4.60998,0.0049099,0.512622
Zbtb8os,-4.78926,0.0049192,-0.246871
Elf3,4.33459,0.00495518,0.211037
Uqcrb,-5.26738,0.00505915,-0.23503
4933427I22Rik,4.55049,0.00505967,0.265794
Gm16175,4.51518,0.00509455,0.354271
Gm23201,-4.84576,0.00513457,-0.468583
Itfg3,-4.70124,0.00513742,-0.257977
Zfp62,-4.29496,0.00515949,-0.180883
Gm15717,-5.30137,0.00516663,-0.565885
Vmn2r46,-6.62526,0.00517737,-0.496029
Gm22793,4.33311,0.0052162,0.268122
Gas2,-4.55672,0.00521973,-0.291801
9430083A17Rik,5.15977,0.00523206,0.220811
Rbm44,4.3351,0.00525339,0.336865
Rpl31-ps1,-5.184,0.00526068,-0.0599802
Rybp,5.28149,0.00527938,0.28521
4930509K18Rik,4.2847,0.00527946,0.20722
Lsr,-7.36071,0.00530832,-0.172686
Opa3,-4.87209,0.00533001,-0.207046
Igkv4-56,-5.39881,0.00536544,-2.20592
Gpr34,-4.42187,0.00537075,-0.313244
Gm10837,-4.64834,0.00538413,-0.428624
Tnni3,4.2453,0.00540889,0.151494
Tac1,4.2773,0.00541451,0.18506
Ky,4.36018,0.0054442,0.204251
Gm16033,-4.23636,0.0054625,-0.289038
Olfr1090,4.52005,0.00547369,0.264298
Trip13,-4.93009,0.00551449,-0.310995
Mapre2,5.35278,0.00551893,0.211066
Sik2,4.56914,0.0055243,0.19847
Gm24871,-5.69659,0.00555052,-0.772779
Gm26831,4.27574,0.00556542,0.17446
Srp54a,-4.51284,0.00558016,-0.508791
Hist1h2ah,-4.21889,0.00558809,-0.280388
Igkv4-78,-4.83179,0.00561191,-2.29278
Per2,4.60986,0.00564407,0.174414
Gm10747,5.19049,0.00567403,0.520966
Capza1,-4.42308,0.0056772,-0.196782
LOC100862151,5.8091,0.00573408,0.974911
Thra,5.86983,0.00575662,0.120849
Fhad1,4.44629,0.00575799,0.222035
Echdc2,5.19175,0.00576182,0.287171
Fam98c,-4.39579,0.00576859,-0.11442
Gm14455,4.20602,0.00577454,0.145763
B3galt1,4.27274,0.00583792,0.694887
Gm21588,4.34684,0.00587049,0.270723
Emid1,4.17339,0.0058844,0.413162
Ighv3-6,-6.22475,0.00589219,-3.77906
Srp54b,-4.29251,0.00589299,-0.481484
Olfr330,4.49089,0.0058982,0.274986
Ifi30,-4.61122,0.0059115,-0.982382
Gm12495,4.48793,0.00591154,0.224302
Gm12760,5.0177,0.00592324,0.0978162
Ighv1-34,-5.1792,0.00592466,-3.03764
Gm11834,4.17991,0.0059395,0.191919
Zfp772,-5.21851,0.00594244,-0.250702
Gm9568,4.19244,0.00598088,0.348822
Bpifb5,4.3246,0.00598166,0.132679
Sirt3,4.24056,0.00600073,0.190888
Rgl1,5.07661,0.00600549,0.225867
Zwilch,-4.46345,0.0060077,-0.290112
Gm15175,-4.84885,0.00602498,-0.214401
Klhl22,-4.27437,0.00603504,-0.180517
Lmo2,4.8711,0.00604144,0.305273
1700088E04Rik,4.32297,0.00604621,0.151317
Olfr221,4.77979,0.00607685,0.223048
Trbv19,-4.92693,0.00607777,-0.478625
Ocel1,-4.29751,0.00609311,-0.34762
Gm13697,-4.47709,0.00609924,-0.379715
Gm13694,-4.47709,0.00609924,-0.379715
Gm13696,-4.47709,0.00609924,-0.379715
Gm13693,-4.47709,0.00609924,-0.379715
Gm13698,-4.47709,0.00609924,-0.379715
Rhox2h,4.15975,0.00611416,0.194339
Gm26147,4.20062,0.00611948,0.259006
Gm2420,5.04895,0.00613561,0.25105
Gm22204,5.07876,0.00614203,0.190515
Gm6043,-4.23999,0.00615414,-0.093133
Ptgfr,4.39973,0.00622878,0.162352
Hoxc9,4.939,0.00625566,0.226448
Sdha,-4.115,0.00626762,-0.297246
Rsrc1,-4.11179,0.00628086,-0.116248
Figf,4.43494,0.00628114,0.192815
Igkv4-86,-5.255,0.00628815,-3.28993
2010005H15Rik,-4.26494,0.00629018,-0.373692
Fgf18,4.88798,0.00629238,0.36733
Gabrr2,-4.12422,0.00629516,-0.200665
Psmd13,-4.14841,0.00630102,-0.207585
Asah1,-4.46586,0.00634278,-0.50977
Gm23439,4.37924,0.00634386,0.239771
Creb3l2,4.65458,0.006363,0.21498
Gm24507,-4.26563,0.00644531,-0.199702
Gm26217,-6.0553,0.00648914,-0.152857
Rasgrp1,-5.65606,0.00650591,-0.504295
Kdm4a,-4.48947,0.00655241,-0.143784
Xylt1,4.09485,0.00655743,0.185868
Slc14a1,-4.39807,0.00655995,-0.365562
Dthd1,4.45917,0.00657738,0.326572
Rnf13,-4.2674,0.00661677,-0.0896296
Agfg1,-4.41634,0.00665765,-0.227622
Hap1,4.9263,0.00667716,0.339798
Fgf23,4.05619,0.0066796,0.268468
Ptpn14,4.07864,0.00671201,0.167012
Tomt,4.13277,0.00672316,0.160452
Ell3,4.1205,0.00673292,0.137016
Ighv1-22,-4.93607,0.00673608,-3.30848
Etv1,4.71543,0.00673849,0.157856
Gm20917,4.19017,0.0067408,0.143868
Pfdn1,-4.24401,0.0067645,-0.158678
Gm13857,4.64203,0.00676975,0.173926
Ptprf,-4.36126,0.0067788,-0.140796
Ighv5-4,-5.55563,0.00680675,-3.17112
C330027C09Rik,-5.75845,0.00681702,-0.413482
Akr1c12,4.15427,0.00682725,0.408681
Gm6981,4.07768,0.00685117,0.171879
Gm22098,4.20303,0.00685235,0.0977913
Zfp612,8.3638,0.00686531,0.242137
Serpinb6e,-4.29717,0.00688324,-0.160442
Gm15523,4.71135,0.00694542,0.279764
Scn1b,4.76791,0.00696131,0.313214
Gm26466,4.04669,0.00696891,0.166499
Mrpl46,-4.03126,0.00698086,-0.193884
Lrrn3,-4.14005,0.00699241,-0.194779
Sh3rf1,4.24064,0.00701301,0.212077
Bex2,4.07207,0.00706897,0.139794
Btbd19,4.33743,0.0070854,0.103779
Gm16052,4.19639,0.0070991,0.232815
Ivl,-4.90166,0.00714068,-0.183442
Mark1,4.46757,0.00714956,0.561779
B4galt3,-4.71351,0.00715353,-0.195634
Cyp1a2,4.05008,0.00715468,0.18699
6030468B19Rik,3.99582,0.00715497,0.189928
Mcm5,-4.36609,0.00718562,-0.242681
Gm23447,4.03269,0.00720475,0.273924
Ttbk2,4.88303,0.00720837,0.49577
