gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,TC1-Tfh,TC2-Tfh,TC4-Tfh
Arhgef15,1,0,1,0,0,0,0
Arhgef16,12,3,14,4,3,11,7
Arhgef17,8,13,10,8,4,11,6
Arhgef18,2631,3500,2993,3290,2329,2497,2565
Arhgef19,2,0,0,0,3,2,1
Arhgef2,3258,3278,3322,3288,3600,3720,3716
Arhgef25,8,5,11,7,15,8,7
Arhgef26,0,0,0,1,0,0,0
Arhgef28,1,0,3,2,0,0,1
Arhgef3,10224,9539,9221,9246,7585,6983,8090
Arhgef33,6,1,1,2,1,1,3
Arhgef37,0,1,0,1,0,0,0
Arhgef38,0,0,0,0,0,0,0
Arhgef39,65,63,42,40,48,60,55
Arhgef4,742,844,734,816,686,735,746
Arhgef40,22,6,15,9,11,11,12
Arhgef5,479,388,500,399,597,577,569
Arhgef6,4416,4378,4294,4528,3848,3916,4191
Arhgef7,1579,1486,1546,1588,1591,1358,1632
Arhgef9,46,51,37,33,31,29,19
Arid1a,11062,9347,10698,10879,12955,12056,11699
Arid1b,3024,2718,2855,2873,2611,2429,3061
Arid2,2050,1614,1897,2033,2027,1808,1831
Arid3a,356,341,292,319,248,306,213
Arid3b,344,436,295,455,436,564,398
Arid3c,0,0,0,1,1,0,2
Arid4a,2812,2692,3038,3066,4217,3792,4355
Arid4b,2281,2073,2283,2190,2530,2294,2515
Arid5a,2675,3160,3147,3233,2502,2269,2762
Arid5b,1750,1095,1666,1379,2251,1468,2121
Arih1,4379,4566,4811,4530,4293,3715,4586
Arih2,1817,1627,1645,1555,1691,1524,1750
Arl1,922,918,807,803,656,529,648
Arl10,171,135,170,127,134,98,153
Arl11,3,1,2,0,0,0,0
Arl13b,477,458,478,396,441,382,540
Arl14,1,0,1,1,0,2,1
Arl14ep,767,738,747,742,581,513,691
Arl14epl,0,0,0,0,0,0,0
Arl15,494,445,462,460,351,275,428
Arl16,261,292,268,288,183,181,193
Arl2,254,278,267,220,272,212,230
Arl2bp,2360,2696,2438,2465,1468,1315,1458
Arl3,306,350,289,267,243,155,234
Arl4a,612,675,608,585,555,567,609
Arl4aos,0,0,0,0,0,1,1
Arl4c,2225,3015,2571,2554,2273,1838,1733
Arl4d,40,48,23,45,21,30,24
Arl5a,1766,1687,1615,1635,1719,1549,1566
Arl5b,513,459,505,497,494,491,535
Arl5c,830,937,837,878,879,712,832
Arl6,108,76,68,63,56,41,61
Arl6ip1,5357,6154,5204,5492,3946,3736,3728
Arl6ip4,718,758,690,660,461,445,472
Arl6ip5,3807,4330,3851,3846,2632,2430,2650
Arl6ip6,492,528,507,449,420,387,382
Arl8a,914,933,870,934,985,907,895
Arl8b,1720,1719,1627,1667,1300,1174,1303
Arl9,0,1,0,4,1,1,4
Armc1,870,957,943,894,592,572,690
Armc10,1071,1176,1026,1028,864,707,857
Armc12,2,2,3,1,0,2,1
Armc2,3,2,2,1,1,5,2
Armc3,65,80,51,70,44,49,45
Armc4,0,0,0,0,0,0,0
Armc5,856,843,773,740,788,779,895
Armc6,132,148,145,161,160,140,178
Armc7,1220,1521,1276,1356,830,766,914
Armc8,1234,1166,1248,1216,1132,1057,1212
Armc9,150,145,148,161,136,123,156
Armcx1,32,29,29,30,33,30,32
Armcx2,940,814,914,740,955,816,992
Armcx3,158,139,145,139,103,89,113
Armcx4,209,125,141,113,170,207,193
Armcx5,262,252,244,227,341,321,328
Armcx6,60,55,48,32,29,36,35
Armt1,785,748,753,766,765,721,845
Arnt,1963,1847,2016,1929,2035,2001,2283
Arnt2,1355,1273,1970,1301,1759,1015,1668
Arntl,1043,1107,1147,1187,1253,933,1328
Arntl2,0,2,1,3,0,0,1
Arpc1a,1246,1317,1216,1235,970,782,925
Arpc1b,7999,9740,8439,8970,6234,5158,6130
Arpc2,9732,11583,9876,10148,7219,6375,7363
Arpc3,3241,3910,3182,3334,2440,2014,2459
Arpc4,3650,4415,3574,3762,2704,2453,2881
Arpc5,4856,5522,4551,4826,2776,2679,3248
Arpc5l,1834,2036,1787,1849,1633,1346,1620
Arpp19,1023,1158,1038,1019,776,706,773
Arpp21,0,1,1,0,2,2,1
Arrb1,2425,2544,2730,2598,2452,2337,2682
Arrb2,4140,5131,4730,4802,4304,4124,4580
Arrdc1,2549,2633,2309,2505,2356,2153,2558
Arrdc2,304,341,316,334,385,292,412
Arrdc3,602,794,692,792,782,812,785
Arrdc4,599,724,837,613,915,815,882
Arsa,548,543,460,503,476,440,431
Arsb,719,737,808,692,421,382,382
Arsg,106,86,91,68,127,124,100
Arsi,0,1,0,0,0,0,0
Arsj,0,0,0,0,0,0,0
Arsk,203,203,204,212,226,227,241
Art1,0,0,0,0,0,0,0
Art2a-ps,1405,853,1132,914,1691,605,1635
Art2b,1594,1850,1527,1909,1808,1247,2374
Art3,286,289,277,236,200,217,245
Art4,3,8,2,3,5,8,1
Art5,5,1,3,5,2,2,2
Artn,0,1,0,0,0,0,0
Arv1,153,168,139,171,171,162,166
Arvcf,82,80,89,87,75,72,110
Arx,0,0,0,0,0,0,0
Arxes1,1,0,1,0,0,0,0
Arxes2,92,114,92,81,84,89,97
As3mt,178,134,176,126,133,124,132
Asah1,586,626,519,602,314,284,338
Asah2,420,312,333,272,259,173,266
Asap1,6378,5983,6308,6703,6183,5275,6944
Asap2,310,293,319,337,350,324,465
Asap3,20,13,10,13,14,14,12
Asb1,568,484,548,462,540,420,533
Asb11,0,0,0,0,0,0,0
Asb13,730,800,764,874,949,928,1047
Asb14,0,0,1,0,0,0,0
Asb15,0,0,0,0,2,1,0
Asb16,0,0,0,0,0,0,0
Asb17,0,0,0,0,0,0,0
Asb17os,0,0,0,0,0,0,0
Asb2,2726,2399,1993,2213,2482,2032,2820
Asb3,682,762,688,673,513,426,603
Asb4,0,0,0,0,0,0,0
Asb5,7,9,13,5,4,4,5
Asb6,878,938,800,917,800,789,901
Asb7,498,404,502,425,406,382,448
Asb8,675,763,627,640,518,443,558
Asb9,1,0,0,0,0,0,0
Ascc1,545,684,543,573,379,281,398
Ascc2,1912,1850,1934,2039,1477,1296,1641
Ascc3,1670,1538,1672,1677,1354,1360,1461
Ascl1,1,1,0,0,0,3,3
Ascl2,589,443,628,594,695,312,653
Ascl3,2,2,2,3,2,0,0
Ascl4,10,11,10,7,3,4,4
Ascl5,0,0,0,0,0,0,0
Asf1a,427,415,376,359,304,265,319
Asf1b,186,181,155,216,132,138,165
Asgr1,0,0,0,0,0,0,0
Asgr2,0,0,0,0,0,0,1
Ash1l,3353,2325,3149,3078,3967,3657,3970
Ash2l,1286,1286,1185,1203,926,928,1165
Asic1,0,0,0,0,2,0,1
Asic3,2,2,1,0,1,0,1
Asic4,0,0,0,0,0,0,0
Asic5,0,0,0,0,0,0,0
Asl,760,726,649,660,560,485,570
Asmt,1,6,1,4,3,2,2
Asna1,964,1007,958,956,738,621,677
Asns,48,64,50,50,52,57,49
Asnsd1,311,361,335,266,227,172,216
Aspa,0,0,0,0,0,0,0
Asph,10,5,6,3,8,6,13
Asphd1,0,0,0,0,0,0,0
Asphd2,5,17,7,6,5,9,4
Aspm,57,40,42,53,31,37,40
Aspn,0,0,0,0,0,0,0
Asprv1,6,2,1,4,4,2,2
Aspscr1,1313,1477,1227,1346,1342,1297,1470
Asrgl1,764,776,658,704,535,454,492
Ass1,1435,1663,1223,1356,747,778,812
Aste1,311,297,299,312,292,257,297
Astl,13,14,13,7,14,10,13
Astn1,0,0,1,0,0,0,0
Astn2,0,0,0,0,0,0,0
Asun,1124,1075,1066,1082,970,917,1078
Asxl1,4564,4015,4523,4476,4572,4186,4536
Asxl2,4705,3828,4376,4116,5019,4622,5426
Atad1,1915,1938,1966,1863,1485,1347,1474
Atad2,1405,1305,1414,1419,1374,1351,1480
Atad2b,1015,718,961,911,940,898,980
Atad3a,659,756,631,646,699,661,731
Atad3aos,18,18,9,19,10,6,14
Atad5,340,244,319,270,242,274,288
Atat1,353,278,358,262,390,326,429
Atcay,1210,1091,1214,1179,1485,994,1314
Atcayos,22,22,22,14,16,10,15
Ate1,1192,1132,1155,1073,803,786,935
Atf1,1167,1169,1154,1134,969,822,962
Atf2,1827,1879,1850,1817,1633,1575,1698
Atf3,2,4,3,2,1,4,0
Atf4,2267,2659,2307,2435,3153,2895,2811
Atf5,129,114,110,119,62,55,49
Atf6,1223,1060,1155,1115,807,580,845
Atf6b,1925,2244,1919,2055,1590,1388,1723
Atf7,1525,1362,1552,1583,1856,1860,2139
Atf7ip,7170,6209,7067,7139,7091,6099,7080
Atf7ip2,0,0,1,0,0,0,0
Atg10,175,178,171,153,119,100,113
Atg101,403,490,414,454,303,247,316
Atg12,1257,1298,1218,1237,877,873,1061
Atg13,1422,1330,1343,1158,1122,982,1228
Atg14,542,530,481,499,445,367,503
Atg16l1,1056,1108,1043,1129,1498,1342,1568
Atg16l2,1187,1304,1316,1390,1544,1298,1596
Atg2a,2561,2299,2549,2497,2352,2109,2492
Atg2b,1836,1758,1855,2002,2263,1959,2133
Atg3,1009,1185,1052,1082,966,962,1092
Atg4a,342,368,315,279,257,254,268
Atg4a-ps,1,3,2,0,1,3,3
Atg4b,1232,1277,1254,1316,1422,1197,1454
Atg4c,29,19,23,10,14,32,32
Atg4d,689,825,701,732,620,495,582
Atg5,738,835,744,725,545,451,569
Atg7,516,498,477,406,381,327,407
Atg9a,546,423,494,520,497,455,533
Atg9b,40,49,29,56,27,13,25
Athl1,1336,1257,1195,1104,1103,875,1230
Atic,2200,2481,2268,2341,1708,1500,1710
Atl1,11,7,5,4,7,9,5
Atl2,610,673,627,605,624,492,569
Atl3,5055,3762,4578,3639,3485,3145,3867
Atm,2592,1632,2314,2149,2246,2061,2412
Atmin,1999,1789,1830,1753,1501,1290,1486
Atn1,2790,2675,3049,3103,3406,3212,3386
Atoh7,0,0,0,0,0,0,0
Atoh8,1,1,3,0,4,0,2
Atox1,546,666,538,494,346,289,285
Atp10a,1347,1229,1356,1364,962,968,1084
Atp10b,0,0,5,2,0,0,0
Atp10d,1616,1709,1684,1819,1496,1521,1790
Atp11a,2027,1746,2115,2110,3303,3214,3840
Atp11b,3842,3633,3717,3663,3535,3519,3675
Atp11c,1272,1090,1213,1115,1100,1176,1368
Atp13a1,2580,2853,2641,2919,2576,2411,2656
Atp13a2,1414,1487,1340,1531,1372,1311,1397
Atp13a3,2853,2365,2715,2662,2448,2369,2426
Atp13a4,0,0,0,0,1,1,1
Atp1a1,10457,10366,10507,9939,7108,5929,6971
Atp1a2,0,2,3,0,7,3,5
Atp1a3,1749,1471,1770,1568,1036,703,852
Atp1a4,0,0,0,0,0,0,0
Atp1b1,1168,970,1414,877,1459,706,1196
Atp1b2,5,5,2,0,3,0,0
Atp1b3,4891,7292,5879,6366,4211,3632,4067
Atp1b4,0,1,0,0,0,0,0
Atp2a1,4,3,2,2,7,3,5
Atp2a2,3868,3415,3630,3832,3746,3412,3649
Atp2a3,11435,11233,10647,10719,9955,9235,10447
Atp2b1,4052,3536,3813,3522,3861,3372,3864
Atp2b2,131,65,66,50,16,36,26
Atp2b3,1,0,0,0,0,0,0
Atp2b4,3881,3293,4302,3657,3194,2765,3074
Atp2c1,1520,1621,1539,1562,1562,1393,1616
Atp2c2,1,2,0,0,1,0,0
Atp4a,1,0,1,0,1,1,2
Atp5a1,11512,12414,11139,11062,8055,7056,8243
Atp5b,10970,12153,11100,11277,8266,6943,8045
Atp5c1,3193,3904,3237,3358,2312,2116,2518
Atp5d,2434,3135,2669,2658,2140,1657,1946
Atp5e,1562,1862,1433,1520,1099,863,1070
Atp5f1,2520,3027,2489,2531,1746,1472,1723
Atp5g1,658,776,619,701,445,372,467
Atp5g2,482,567,525,520,342,317,388
Atp5g3,2652,2809,2475,2421,1780,1563,1749
Atp5h,2034,2631,2090,2340,1491,1374,1751
Atp5j,1769,2063,1753,1800,1321,1087,1412
Atp5j2,1389,1749,1425,1433,948,882,1098
Atp5k,552,758,600,568,444,380,447
Atp5k-ps2,2,1,1,0,0,0,0
Atp5l,14,11,12,15,24,15,18
Atp5l-ps1,0,0,0,0,0,0,0
Atp5l-ps2,0,1,0,0,0,0,0
Atp5l2-ps,1,1,1,1,2,3,3
Atp5o,1585,1847,1522,1601,1065,884,1091
Atp5s,96,121,108,128,107,85,121
Atp5sl,777,914,829,806,894,828,997
Atp6ap1,3315,3648,3342,3180,2515,2186,2507
Atp6ap1l,0,0,0,0,0,0,0
Atp6ap2,1454,1591,1403,1362,941,890,1002
Atp6v0a1,147,98,104,93,111,115,144
Atp6v0a2,3208,3394,3099,3381,2714,2586,2673
Atp6v0a4,0,1,0,1,0,0,1
Atp6v0b,884,1042,944,1083,913,855,893
Atp6v0c,398,393,373,387,494,370,402
Atp6v0d1,1236,1411,1232,1353,965,697,1012
Atp6v0d2,134,209,188,224,173,123,190
Atp6v0e,1566,1807,1543,1585,1187,972,1200
Atp6v0e2,24,19,13,11,9,10,12
Atp6v1a,1259,1195,1056,1150,841,760,912
Atp6v1b1,0,0,0,2,0,0,0
Atp6v1b2,2093,2075,2110,1982,1520,1242,1519
Atp6v1c1,1383,1318,1223,1246,875,763,946
Atp6v1c2,1,0,1,0,5,2,8
Atp6v1d,1611,1881,1610,1853,1481,1219,1438
Atp6v1e1,1113,1253,1130,1095,911,775,923
Atp6v1f,1304,1616,1374,1314,938,833,929
Atp6v1g1,589,743,669,657,442,369,475
Atp6v1g2,317,295,345,291,284,249,329
Atp6v1g3,12,18,16,10,12,9,17
Atp6v1h,1027,1184,953,1024,792,676,819
Atp7a,338,235,273,274,310,296,334
Atp7b,5,5,14,7,14,8,10
Atp8a1,1769,1418,1714,1734,2010,1849,2443
Atp8a2,5,14,15,17,5,18,3
Atp8b1,0,0,0,0,2,1,0
Atp8b2,3852,3608,3863,3653,3860,3634,3649
Atp8b3,0,0,1,0,0,0,1
Atp8b4,34,45,24,33,17,45,30
Atp8b5,0,0,0,0,1,1,1
Atp9a,1926,1944,1932,1698,1554,1262,1779
Atp9b,3426,3425,3321,3496,3327,2965,3826
Atpaf1,317,307,285,290,239,189,218
Atpaf2,528,568,508,503,530,445,527
Atpif1,616,642,596,644,404,362,411
Atr,1365,1150,1248,1161,1196,1157,1414
Atraid,561,634,546,514,447,369,476
Atrip,12,11,13,18,23,22,33
Atrn,1064,865,942,945,999,898,942
Atrnl1,99,82,87,65,74,82,113
Atrx,8252,6009,7565,7215,8779,9196,9631
Atxn1,1783,1595,1881,1819,2049,2007,2271
Atxn10,2563,2771,2635,2563,1842,1533,2100
Atxn1l,1574,1336,1622,1444,1446,1233,1465
Atxn2,750,761,784,809,1087,989,1152
Atxn2l,8302,8753,8788,9330,10342,10451,10714
Atxn3,1039,916,1015,925,953,819,927
Atxn7,1929,1711,1925,1925,2563,2599,2704
Atxn7l1,2652,2367,2802,2564,2833,2748,3144
Atxn7l1os2,0,1,0,1,0,1,1
Atxn7l2,219,215,213,232,241,234,287
Atxn7l3,2668,2713,2627,2592,2403,2038,2241
Atxn7l3b,2308,2275,2289,2172,1664,1534,1806
Auh,644,697,683,646,914,726,910
Aunip,7,2,3,2,0,2,0
Aup1,3512,4245,3559,3656,3451,3178,3770
Aurka,45,44,46,44,29,28,29
Aurkaip1,1034,1265,984,970,682,607,835
Aurkb,60,41,24,38,18,17,22
Aurkc,0,1,1,0,0,0,0
Auts2,4,4,4,1,2,7,2
Aven,434,496,538,526,382,312,423
Avil,15,24,21,21,43,48,60
Avl9,1764,1659,1901,1792,1598,1498,1733
Avpi1,40,51,37,46,28,18,15
Avpr1a,0,0,0,0,1,0,0
Avpr1b,0,0,0,0,0,0,0
Avpr2,0,0,0,1,0,0,0
Awat1,1,0,0,0,0,0,0
Awat2,14,7,10,4,7,7,10
Axdnd1,8,4,1,4,4,2,3
Axin1,2283,2589,2403,2520,2220,2040,2169
Axin2,1572,1879,1858,2106,2075,1984,1883
Axl,3588,2773,3102,2373,1834,1690,1948
Azi2,1987,2052,1916,2001,1956,1867,2073
Azin1,2982,2961,3105,2963,2516,2478,2718
Azin2,11,2,6,1,3,1,4
B020018G12Rik,6,2,3,4,0,4,6
B130006D01Rik,0,1,2,0,0,1,0
B130034C11Rik,34,19,20,13,15,10,7
B130046B21Rik,0,0,0,0,1,0,0
B130055M24Rik,207,137,162,176,140,137,171
B230104I21Rik,0,0,1,0,0,0,0
B230110C06Rik,0,0,1,0,0,1,0
B230112G18Rik,1,1,1,1,0,0,0
B230118H07Rik,3,2,0,0,10,14,4
B230206H07Rik,0,0,0,0,0,0,0
B230206L02Rik,1,0,1,0,0,0,1
B230208H11Rik,6,7,4,7,1,5,7
B230216G23Rik,12,6,6,7,3,5,20
B230216N24Rik,15,13,7,5,22,23,21
B230217C12Rik,46,59,41,45,38,37,37
B230217O12Rik,111,86,122,105,83,56,102
B230219D22Rik,2396,2196,2405,2380,1785,1532,1953
B230307C23Rik,91,67,102,92,88,59,86
B230312C02Rik,0,0,0,0,0,0,0
B230317F23Rik,2,2,4,2,0,0,0
B230319C09Rik,3,0,0,2,1,0,0
B230322F03Rik,11,14,15,14,6,7,5
B230323A14Rik,1,0,4,0,0,1,1
B230325K18Rik,15,18,13,18,23,14,20
B230344G16Rik,2,2,0,1,0,1,0
B230354K17Rik,425,380,427,384,306,259,349
B230359F08Rik,5,3,1,3,1,6,1
B230369F24Rik,12,12,9,9,9,2,8
B230377A18Rik,0,0,0,0,0,0,0
B230398E01Rik,7,13,10,11,9,10,10
B2m,53167,65269,55979,53526,34668,33276,36384
B330016D10Rik,28,33,24,29,27,26,30
B3galnt1,0,0,0,0,0,0,0
B3galnt2,822,826,838,848,626,601,620
B3galt1,113,99,105,59,175,154,216
B3galt2,3,2,9,4,11,3,5
B3galt4,309,393,311,356,153,161,171
B3galt5,106,161,118,106,85,129,83
B3galt6,228,219,203,191,132,141,166
B3gat2,1,1,2,1,0,0,1
B3gat3,1147,1327,1234,1137,997,827,1019
B3glct,108,132,155,106,124,111,137
B3gnt2,39,31,27,39,23,19,25
B3gnt3,144,131,174,127,76,70,95
B3gnt4,0,1,0,0,0,0,0
B3gnt5,555,469,573,541,516,485,623
B3gnt6,1,2,2,0,3,2,3
B3gnt7,0,1,1,0,0,1,0
B3gnt8,0,1,3,1,1,1,2
B3gnt9,197,153,168,135,146,97,142
B3gntl1,397,336,344,363,395,399,445
B430010I23Rik,0,0,0,1,0,0,1
B430203G13Rik,2,2,0,1,2,2,7
B430212C06Rik,0,0,0,0,0,0,0
B430218F22Rik,0,1,0,2,1,0,0
B430219N15Rik,2,1,2,2,0,0,1
B430305J03Rik,29,19,26,17,22,22,37
B430306N03Rik,9,15,8,7,11,12,9
B4galnt1,10567,12385,10651,11306,6571,6656,6478
B4galnt2,0,1,0,0,0,0,0
B4galnt3,3,2,2,0,0,1,1
B4galnt4,1272,1381,1229,1244,1008,886,1063
B4galt1,2957,3106,2835,2854,2294,2178,2308
B4galt2,2,2,2,1,2,5,2
B4galt3,685,775,690,716,752,716,878
B4galt4,236,264,253,218,170,163,170
B4galt5,731,693,560,637,496,570,531
B4galt6,2,7,16,5,20,3,15
B4galt7,461,588,559,521,522,489,598
B4gat1,292,363,265,253,230,187,193
B630005N14Rik,977,986,980,953,618,580,713
B630019A10Rik,176,212,210,196,178,162,245
B630019K06Rik,93,99,89,71,91,65,92
B830012L14Rik,0,0,0,0,0,0,0
B930036N10Rik,0,2,2,1,14,12,10
B930082K07Rik,0,1,1,0,0,0,0
B930094E09Rik,2,2,0,1,1,1,0
B930095G15Rik,242,162,225,241,257,257,321
B9d1,42,22,26,40,19,18,24
B9d1os,0,0,0,0,0,0,0
B9d2,449,433,399,391,311,247,309
BB014433,0,0,0,0,0,0,0
BB031773,0,0,0,0,0,0,0
BB365896,0,0,0,0,0,0,0
BB557941,0,0,0,0,0,0,0
BC001981,0,1,0,0,0,0,0
BC002059,427,421,409,422,392,308,429
BC002163,4,6,4,5,91,75,100
BC003331,729,697,671,652,672,598,771
BC003965,514,591,481,499,424,371,486
BC004004,1191,1280,1109,1144,793,693,975
BC005537,8532,8905,8822,9112,8092,7556,8629
BC005561,192,138,208,157,259,228,244
BC005624,947,1078,973,980,897,813,882
BC016579,0,1,0,0,0,0,1
BC017158,754,737,663,772,728,739,909
BC017643,2794,3346,3053,3398,2253,2044,2356
BC018473,42,13,63,15,58,24,58
BC021614,1494,1716,1410,1297,1127,863,1133
BC021767,0,0,0,0,0,0,0
BC021785,2,2,1,2,2,5,3
BC022687,13,14,12,14,9,7,6
BC022960,4,4,3,3,1,0,5
BC023105,14,7,8,15,10,12,13
BC023719,1,0,0,0,0,2,1
BC023829,693,722,724,727,575,524,642
BC024978,185,150,160,157,181,150,189
BC025920,238,272,231,259,195,148,244
BC026585,201,164,167,148,117,107,131
BC027231,453,432,471,477,478,489,531
BC028471,0,0,0,0,1,0,0
BC028528,3,1,0,0,1,0,0
BC028777,0,0,1,0,1,0,0
BC029214,516,646,464,569,519,496,571
BC029722,810,1040,826,856,644,498,651
BC030336,517,451,495,522,501,392,474
BC030499,12,9,9,12,4,11,8
BC030867,9,6,9,7,0,4,7
BC031181,798,912,771,860,610,524,604
BC034090,9,8,6,10,4,0,1
BC035044,17,27,19,33,17,19,27
BC035947,0,0,0,0,0,0,0
BC037032,9,19,7,8,10,6,8
BC037034,1748,2056,1766,2216,1987,1966,2017
BC037039,3,0,1,0,2,1,0
BC039771,0,0,0,0,1,0,0
BC043934,257,332,271,256,151,135,216
BC046401,0,0,0,0,0,1,0
BC048403,268,266,255,230,242,192,262
BC048507,1,0,0,0,0,0,0
BC048562,0,0,0,0,0,0,0
BC048609,1,3,1,2,0,1,1
BC048644,3,1,2,1,3,1,2
BC049352,17,17,13,19,9,8,12
BC049715,4,11,8,13,15,10,6
BC049762,0,0,1,0,0,3,2
BC051019,0,0,0,0,0,0,0
BC051077,0,0,0,1,1,1,0
BC051142,90,60,95,74,81,57,77
BC051226,99,140,101,111,88,70,97
BC051537,26,31,12,31,9,17,16
BC051628,11,7,4,7,7,2,5
BC052040,226,253,232,209,192,196,196
BC053393,0,0,0,0,0,0,0
BC055111,0,5,2,4,3,1,1
BC055308,13,12,12,15,37,35,35
BC055324,98,104,118,113,92,95,122
BC064078,198,211,168,198,144,147,168
BC065397,77,72,64,39,141,102,123
BC065403,0,1,0,0,0,0,0
BC067074,0,1,0,0,0,0,0
BC068281,128,108,133,124,144,133,141
BC085271,3,1,2,3,3,6,0
BC094916,68,124,52,83,63,112,70
BC100451,12,14,7,11,20,18,23
BC106179,148,124,150,133,153,126,158
BC147527,226,343,221,249,1,0,0
BE692007,2591,1825,2534,2432,2299,1867,2638
BX510318.1,5,5,13,12,21,12,8
Baat,0,0,1,0,0,1,0
Babam1,1537,1676,1547,1615,1197,1002,1263
Bace1,13,6,8,5,7,6,4
Bace2,301,188,358,219,117,84,114
Bach1,558,473,498,498,536,476,473
Bach2,745,544,741,633,647,697,741
Bach2it1,4,3,1,1,4,4,3
Bach2os,0,0,0,0,0,1,0
Bad,285,284,271,230,198,142,186
Bag1,1602,1777,1629,1671,1237,1059,1232
Bag2,30,37,32,45,26,37,27
Bag3,766,805,830,749,668,591,721
Bag4,1028,861,995,879,811,683,991
Bag5,540,610,502,469,424,390,447
Bag6,5020,5296,4941,5135,4788,4366,5088
Bahcc1,0,2,2,0,0,0,0
Bahd1,2635,2503,2582,2581,2555,1838,1982
Baiap2,559,686,589,704,795,753,903
Baiap2l1,1,0,0,0,0,0,0
Baiap2l2,22,28,27,19,13,15,28
Baiap3,4183,3917,4030,3717,4091,3360,3954
Bak1,1224,1355,1243,1275,1005,848,955
Bambi,5,6,3,3,48,29,13
Bambi-ps1,210,244,181,217,199,93,179
Banf1,1015,1285,1108,1146,714,612,712
Banf2os,0,0,0,0,0,0,0
Bank1,71,63,61,61,52,48,47
Banp,509,808,734,868,781,795,794
Bap1,1944,2027,1936,1901,1773,1580,1843
Bard1,87,108,102,108,112,98,98
Barhl1,1,0,0,0,0,0,1
Barx2,16,10,12,7,22,14,24
Basp1,2,3,5,6,1,3,1
Batf,3544,3111,3422,2873,2580,2030,2704
Batf2,0,0,0,0,2,2,0
Batf3,0,1,1,0,0,0,0
Bax,1365,1671,1516,1602,1248,1021,1151
Baz1a,3907,3652,4379,4185,4053,3195,4001
Baz1b,4973,4753,5067,5396,5421,5108,5720
Baz2a,8753,7057,8713,8445,8897,7951,8789
Baz2b,1354,933,1083,977,1447,1235,1444
Bbc3,352,351,393,355,376,257,300
Bbip1,513,550,564,540,400,340,419
Bbs1,62,41,58,54,37,20,47
Bbs10,74,72,71,73,42,20,49
Bbs12,383,389,335,358,287,185,328
Bbs2,426,361,356,360,380,297,340
Bbs4,335,299,293,298,304,264,328
Bbs5,3,2,9,5,7,4,9
Bbs7,23,16,23,11,17,11,10
Bbs9,285,298,275,283,213,239,281
Bbx,1535,1336,1436,1394,1562,1529,1716
Bcam,409,403,416,276,33,48,32
Bcan,0,0,0,0,0,0,0
Bcap29,787,846,689,710,488,454,509
Bcap31,1877,2344,1864,1851,1363,1212,1436
Bcar1,34,9,26,8,23,14,20
Bcar3,5,3,3,4,18,8,7
Bcas1,54,55,52,52,50,42,61
Bcas1os1,0,0,0,1,0,0,0
Bcas1os2,1,0,0,0,0,1,0
Bcas2,1253,1369,1185,1271,1126,997,1195
Bcas3,884,901,871,812,686,608,613
Bcat1,150,127,128,109,75,123,99
Bcat2,690,792,703,681,396,376,451
Bccip,977,1099,973,1093,957,845,937
Bcdin3d,262,306,234,220,192,161,216
Bche,1,0,1,1,3,0,4
Bckdha,831,833,686,682,585,453,580
Bckdhb,153,204,184,210,260,281,287
Bckdk,864,779,695,672,476,437,628
Bcl10,1436,1397,1391,1335,1101,1010,1175
Bcl11a,5,4,2,4,1,0,1
Bcl11b,7085,7471,7122,8046,7383,7096,7084
Bcl2,3058,2553,3228,2442,2450,2253,3207
Bcl2a1a,3,7,11,5,3,1,1
Bcl2a1b,416,535,436,472,321,284,333
Bcl2a1c,2,4,1,3,2,1,4
Bcl2a1d,257,287,280,278,183,158,216
Bcl2l1,687,664,560,581,356,546,429
Bcl2l10,1,0,0,0,0,0,1
Bcl2l11,583,737,624,787,875,860,913
Bcl2l12,306,333,292,335,227,198,253
Bcl2l13,1435,1335,1511,1430,1171,881,1168
Bcl2l14,117,58,76,58,34,37,53
Bcl2l15,55,49,58,54,75,54,86
Bcl2l2,389,323,317,317,298,258,303
Bcl3,1638,1250,1426,1240,1194,902,1152
Bcl6,4406,3736,4382,4713,5618,3843,5608
Bcl6b,9,5,1,4,3,6,3
Bcl7a,687,647,631,680,900,751,969
Bcl7b,1012,1247,1102,1061,918,775,938
Bcl7c,405,389,402,393,288,268,305
Bcl9,1126,879,966,827,1046,834,1200
Bcl9l,1532,1687,1546,1700,2154,2267,1933
Bclaf1,4575,4520,4841,4774,5800,5587,6191
Bco2,48,30,16,18,12,35,14
Bcor,5844,4527,5526,4895,5361,5154,5914
Bcorl1,221,238,222,273,210,268,243
Bcr,1235,1287,1241,1277,1160,1170,1318
Bcs1l,163,191,172,217,131,137,162
Bdh1,844,894,836,842,561,477,598
Bdh2,7,7,11,8,7,8,8
Bdnf,0,0,0,0,0,0,0
Bdp1,1891,1455,1795,1631,1913,1728,2042
Becn1,2671,2875,2726,2937,2703,2492,2932
Begain,5,14,15,14,24,16,10
Bend3,398,297,330,314,384,276,426
Bend4,11,5,10,19,7,11,15
Bend5,1,3,3,3,0,8,3
Bend6,24,20,41,19,11,10,16
Bend7,0,0,0,0,0,3,4
Best1,2,3,2,1,0,2,2
Best2,0,0,1,0,1,0,0
Best3,0,0,0,0,1,0,1
Best4-ps,0,0,0,0,0,2,1
Bet1,377,379,353,322,277,273,327
