NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
KARLSSON_TGFB1_TARGETS_UP,KARLSSON_TGFB1_TARGETS_UP,Details ...,107,-0.35555062,-1.4189304,0.01875,0.19692184,0.888,3083,"tags=38%, list=23%, signal=49%",Tfh
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,Details ...,106,-0.35814124,-1.4099553,0.008639309,0.13122833,0.887,1153,"tags=24%, list=9%, signal=26%",Tn
BIOCARTA_ERK_PATHWAY,BIOCARTA_ERK_PATHWAY,Details ...,24,-0.46836057,-1.390317,0.08695652,0.20906827,0.938,1646,"tags=33%, list=12%, signal=38%",Tfh
KARLSSON_TGFB1_TARGETS_DN,KARLSSON_TGFB1_TARGETS_DN,Details ...,161,-0.33346376,-1.3818707,0.013483146,0.15221167,0.926,2097,"tags=31%, list=17%, signal=37%",Tn
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Details ...,246,-0.30827376,-1.3723277,0.004115226,0.1978236,0.958,2079,"tags=26%, list=15%, signal=31%",Tfh
BIOCARTA_CTLA4_PATHWAY,BIOCARTA_CTLA4_PATHWAY,Details ...,19,-0.49806345,-1.3662888,0.09325397,0.15382631,0.951,3504,"tags=47%, list=28%, signal=66%",Tn
REACTOME_MAP2K_AND_MAPK_ACTIVATION,REACTOME_MAP2K_AND_MAPK_ACTIVATION,Details ...,35,-0.42502373,-1.3557113,0.07809111,0.15270817,0.962,1244,"tags=29%, list=10%, signal=32%",Tn
GNF2_JAK1,GNF2_JAK1,Details ...,28,-0.43525708,-1.3216424,0.117256634,0.17784572,0.984,2578,"tags=46%, list=21%, signal=58%",Tn
HE_PTEN_TARGETS_UP,HE_PTEN_TARGETS_UP,Details ...,16,-0.47982052,-1.308529,0.13412228,0.24713112,0.992,1532,"tags=25%, list=11%, signal=28%",Tfh
KEGG_MAPK_SIGNALING_PATHWAY,KEGG_MAPK_SIGNALING_PATHWAY,Details ...,225,0.28623873,1.2538482,0.044088177,0.21221837,0.998,2891,"tags=29%, list=21%, signal=36%",Tfh
KEGG_JAK_STAT_SIGNALING_PATHWAY,KEGG_JAK_STAT_SIGNALING_PATHWAY,Details ...,112,0.3192397,1.2739295,0.053537283,0.20150857,0.996,2068,"tags=19%, list=15%, signal=22%",Tfh
REACTOME_SIGNALING_BY_ACTIVIN,REACTOME_SIGNALING_BY_ACTIVIN,Details ...,11,0.54599535,1.3327413,0.1437247,0.1817887,0.984,1647,"tags=36%, list=12%, signal=41%",Tfh
BIOCARTA_MAPK_PATHWAY,BIOCARTA_MAPK_PATHWAY,Details ...,79,0.37858862,1.3678907,0.03448276,0.23656209,0.971,2742,"tags=34%, list=22%, signal=43%",Tn
ST_JNK_MAPK_PATHWAY,ST_JNK_MAPK_PATHWAY,Details ...,37,0.43171394,1.4350337,0.048582997,0.1078254,0.872,3592,"tags=38%, list=27%, signal=51%",Tfh
BIOCARTA_41BB_PATHWAY,BIOCARTA_41BB_PATHWAY,Details ...,18,0.55957484,1.5713044,0.028957529,0.059178255,0.498,1279,"tags=28%, list=9%, signal=31%",Tfh
TURJANSKI_MAPK1_AND_MAPK2_TARGETS,TURJANSKI_MAPK1_AND_MAPK2_TARGETS,Details ...,12,0.6638876,1.6148474,0.025742574,0.052489687,0.391,1576,"tags=42%, list=12%, signal=47%",Tfh
PHONG_TNF_TARGETS_UP,PHONG_TNF_TARGETS_UP,Details ...,47,0.48533595,1.6296253,0.006122449,0.07105052,0.336,1071,"tags=21%, list=9%, signal=23%",Tn
TURJANSKI_MAPK1_AND_MAPK2_TARGETS,TURJANSKI_MAPK1_AND_MAPK2_TARGETS,Details ...,12,0.6990669,1.7167678,0.003968254,0.07704861,0.162,1208,"tags=33%, list=10%, signal=37%",Tn
PHONG_TNF_TARGETS_UP,PHONG_TNF_TARGETS_UP,Details ...,52,0.5221466,1.8206496,0.001915709,0.007657854,0.045,856,"tags=19%, list=6%, signal=20%",Tfh
TURJANSKI_MAPK14_TARGETS,TURJANSKI_MAPK14_TARGETS,Details ...,10,0.7870093,1.8480573,0,0.006588073,0.031,847,"tags=40%, list=6%, signal=43%",Tfh
