gene_name,TC1-Tfh,TC2-Tfh,TC4-Tfh,TC1-Tn,TC2-Tn,TC4-Tn
1600029O15Rik,0,0,1,0,0,0
1700001C19Rik,1,0,0,0,0,0
1700001D01Rik,1,1,0,0,0,0
1700001G11Rik,12,6,18,2,2,2
1700001G17Rik,1,1,6,6,4,5
1700001J03Rik,5,0,5,3,5,14
1700001J11Rik,0,0,1,0,0,0
1700001L05Rik,13,11,13,12,17,13
1700001L19Rik,0,0,0,0,0,0
1700001O22Rik,63,57,47,3,6,3
1700001P01Rik,3,0,1,5,1,0
1700003E16Rik,0,0,0,0,0,0
1700003F12Rik,4,5,0,1,0,2
1700003G18Rik,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,1
1700006F04Rik,1,1,2,0,0,0
1700006J14Rik,7,1,3,0,0,1
1700007B14Rik,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,1,1
1700007J10Rik,0,0,0,0,0,0
1700007K09Rik,0,0,1,1,0,0
1700007K13Rik,0,0,0,0,0,0
1700007L15Rik,15,15,17,27,12,20
1700008F21Rik,0,0,0,0,0,0
1700008J07Rik,34,21,27,35,22,41
1700008O03Rik,15,21,15,14,6,11
1700009C05Rik,0,0,0,0,0,1
1700009J07Rik,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0
1700010I14Rik,68,73,90,79,69,73
1700010K24Rik,1,0,0,0,0,0
1700011A15Rik,0,0,0,0,0,0
1700011E24Rik,1,1,0,0,0,1
1700011H14Rik,0,0,0,0,0,0
1700011I03Rik,0,0,2,0,0,0
1700011L22Rik,1,0,0,0,0,0
1700012B07Rik,2,1,3,0,0,0
1700012B09Rik,0,0,0,0,0,0
1700012C14Rik,1,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0
1700012L04Rik,2,3,4,2,1,2
1700013F07Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,1,0,0
1700013N06Rik,0,0,0,0,0,0
1700014D04Rik,1,1,1,1,0,0
1700015F17Rik,0,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,1
1700016A09Rik,0,1,0,0,1,1
1700016C15Rik,0,0,1,0,0,0
1700016D06Rik,0,1,0,0,0,0
1700016G14Rik,0,0,1,1,2,4
1700016G22Rik,1,0,0,1,0,0
1700016K19Rik,9,3,8,6,6,6
1700016L21Rik,0,0,0,0,1,2
1700016P03Rik,15,9,2,1,3,1
1700017B05Rik,1847,1357,1792,1488,1356,1411
1700017G19Rik,0,0,0,1,0,0
1700018A14Rik,0,0,1,0,0,0
1700018B08Rik,0,0,1,0,0,0
1700018L02Rik,4,5,3,3,1,0
1700018M17Rik,2,1,2,2,2,3
1700019A02Rik,2,0,2,3,0,1
1700019B03Rik,4,0,0,3,5,4
1700019D03Rik,298,252,423,1,0,1
1700019G17Rik,87,96,117,110,75,133
1700019L03Rik,23,20,19,0,1,0
1700019N19Rik,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0
1700020D05Rik,39,27,37,18,19,35
1700020I14Rik,3703,2690,3299,3416,2226,2905
1700020L24Rik,3,15,9,14,8,15
1700020M21Rik,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0
1700020N18Rik,7,3,9,0,0,2
1700021A07Rik,34,33,48,28,24,39
1700021F05Rik,158,105,168,126,127,151
1700021J08Rik,0,1,0,1,0,0
1700021K19Rik,867,813,880,750,632,695
1700021N21Rik,0,0,0,0,0,1
1700022I11Rik,0,0,0,1,0,0
1700022N22Rik,5,4,9,12,14,6
1700023F06Rik,1,1,1,0,0,0
1700023H06Rik,9,17,19,6,12,6
1700024P04Rik,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,231,31,137,313,156,264
1700025N21Rik,0,0,0,1,0,0
1700025N23Rik,0,2,0,0,1,0
1700026D08Rik,0,0,0,0,0,0
1700026D11Rik,19,6,9,13,20,20
1700026L06Rik,0,1,2,0,0,1
1700027A07Rik,0,1,0,0,1,1
1700027F09Rik,6,8,7,1,0,2
1700028B04Rik,0,0,0,0,0,0
1700028E10Rik,109,85,91,49,38,40
1700028I16Rik,1,0,0,0,0,1
1700028J19Rik,4,5,3,5,5,11
1700028K03Rik,2,8,2,3,1,1
1700028N14Rik,3,2,2,2,3,6
1700029H14Rik,2,1,0,2,4,3
1700029I15Rik,46,41,36,14,16,23
1700029J03Rik,3,4,2,1,0,0
1700029J07Rik,105,92,118,68,56,62
1700029M03Rik,3,2,3,2,0,1
1700029M20Rik,8,0,6,0,0,0
1700029N11Rik,0,0,0,0,0,0
1700030C10Rik,32,40,47,23,51,50
1700030C12Rik,0,1,0,0,1,2
1700030C14Rik,1,0,1,0,0,0
1700030J22Rik,6,5,5,1,1,2
1700030K09Rik,200,197,275,150,137,176
1700030O20Rik,0,0,0,0,0,0
1700031F10Rik,0,0,0,1,0,0
1700031M16Rik,0,0,0,0,0,0
1700031P21Rik,0,1,0,0,0,0
1700034H15Rik,43,60,54,51,53,59
1700034I23Rik,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0
1700034P13Rik,2,1,1,1,1,4
1700037C18Rik,52,42,68,76,47,44
1700037F24Rik,0,0,0,0,0,0
1700037H04Rik,322,292,314,289,256,302
1700039E15Rik,0,0,0,0,0,0
1700039M10Rik,1,0,0,1,1,1
1700040D17Rik,1,1,3,4,4,2
1700040L02Rik,20,12,11,7,8,8
1700041G16Rik,13,12,10,6,4,10
1700042O10Rik,1,0,0,2,1,4
1700047K16Rik,2,1,1,2,3,1
1700047M11Rik,0,0,0,0,0,0
1700048O20Rik,19,16,28,1,5,2
1700049G17Rik,59,46,65,39,23,34
1700049J03Rik,0,0,0,0,0,0
1700051O22Rik,1,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,115,86,126,97,97,93
1700055D18Rik,12,6,16,7,13,18
1700056E22Rik,101,79,83,243,286,347
1700056N10Rik,33,41,41,37,40,36
1700057G04Rik,1,2,1,0,0,2
1700057H21Rik,1,0,0,0,0,0
1700058P15Rik,0,0,0,0,0,0
1700061F12Rik,1,4,2,0,0,0
1700061G19Rik,1,0,0,4,1,5
1700063D05Rik,28,12,32,1,0,1
1700063H04Rik,0,0,0,0,0,0
1700064H15Rik,0,0,1,0,1,0
1700064M15Rik,1,1,1,0,1,0
1700065D16Rik,0,1,2,5,3,3
1700066B17Rik,0,0,1,0,0,0
1700066B19Rik,5,9,14,22,4,15
1700066J03Rik,0,0,0,0,1,0
1700066M21Rik,286,261,295,214,214,235
1700066O22Rik,0,0,0,0,0,0
1700067K01Rik,6,8,16,20,17,16
1700069B07Rik,0,0,0,0,0,2
1700071K01Rik,0,0,0,0,0,0
1700072G22Rik,0,1,0,2,1,0
1700073E17Rik,0,0,1,0,0,0
1700074A21Rik,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,1,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,1,0,1,2,0,1
1700084C06Rik,2,1,4,2,4,5
1700084E18Rik,4,9,2,19,12,20
1700084J12Rik,0,1,0,0,0,0
1700085C21Rik,0,0,0,0,0,0
1700086O06Rik,7,7,7,7,4,5
1700086P04Rik,0,0,1,1,0,0
1700088E04Rik,0,1,1,0,0,2
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,0,0,1,0,0
1700092M07Rik,2,6,4,3,8,12
1700093J21Rik,0,2,0,2,0,1
1700093K21Rik,1,0,0,0,0,0
1700094J05Rik,2,0,0,0,1,1
1700096K18Rik,25,28,31,43,32,47
1700097N02Rik,23,31,19,70,49,62
1700099I09Rik,0,0,0,0,0,0
1700101E01Rik,2,5,4,3,2,1
1700101I11Rik,0,3,0,0,0,0
1700102P08Rik,33,29,24,72,73,75
1700104B16Rik,2,2,3,1,1,4
1700105P06Rik,1,0,0,1,2,0
1700106J16Rik,0,1,1,0,0,0
1700108F19Rik,2,0,2,0,0,0
1700109G14Rik,0,0,0,0,0,0
1700109H08Rik,197,188,173,230,230,195
1700110C19Rik,1,1,2,2,2,2
1700110I01Rik,0,0,0,0,0,0
1700110I07Rik,0,0,1,0,0,0
1700110K17Rik,0,0,0,0,0,1
1700111N16Rik,0,0,0,0,0,0
1700112D23Rik,2,0,0,0,0,0
1700112E06Rik,1,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0
1700112J16Rik,0,0,0,3,0,0
1700113A16Rik,24,22,35,37,28,40
1700113H08Rik,0,0,0,0,0,0
1700120B22Rik,1,0,2,2,1,1
1700120C14Rik,8,6,9,9,6,9
1700120K04Rik,0,0,0,0,0,0
1700122E12Rik,0,2,0,0,3,4
1700122O11Rik,0,0,0,0,1,0
1700123M08Rik,11,9,28,19,8,11
1700123O12Rik,0,0,0,0,0,1
1700123O20Rik,519,479,605,701,611,605
1700124L16Rik,7,15,6,13,10,9
1700125G22Rik,0,1,0,0,2,1
1700125H03Rik,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0
1810006J02Rik,199,177,137,132,132,129
1810008B01Rik,0,0,1,2,0,1
1810008I18Rik,0,0,0,0,0,0
1810009A15Rik,21,12,34,16,17,23
1810009J06Rik,4,7,1,0,0,0
1810010H24Rik,4,8,5,2,4,1
1810011H11Rik,23,28,30,6,7,3
1810011O10Rik,0,0,2,0,0,0
1810012K08Rik,0,0,0,0,1,0
1810012K16Rik,3,2,6,6,8,6
1810013L24Rik,1142,1101,1334,1537,1364,1698
1810014B01Rik,32,35,31,73,52,66
1810019D21Rik,2,1,0,4,2,1
1810019N24Rik,8,4,5,3,1,1
1810020O05Rik,1,0,0,0,0,2
1810021B22Rik,8,5,12,7,3,8
1810022K09Rik,350,261,344,310,268,339
1810024B03Rik,19,21,19,21,17,19
1810026B05Rik,1850,1977,1563,2330,2315,1850
1810026J23Rik,849,651,791,825,759,806
1810030O07Rik,1396,1266,1482,1216,1135,1294
1810032O08Rik,196,160,196,394,311,326
1810034E14Rik,92,69,80,220,157,185
1810037I17Rik,370,293,378,304,226,276
1810041H14Rik,26,29,23,230,186,138
1810041L15Rik,24,9,17,0,0,0
1810043G02Rik,223,166,204,100,70,77
1810043H04Rik,179,124,149,160,116,130
1810044D09Rik,3,1,2,1,1,2
1810046K07Rik,21,1,5,0,0,0
1810049J17Rik,3,4,2,7,7,6
1810053B23Rik,0,1,0,0,1,1
1810055G02Rik,147,124,142,71,76,61
1810058I24Rik,569,463,589,652,568,609
1810059C17Rik,0,0,1,1,3,1
1810062G17Rik,11,7,19,19,16,18
1810062O18Rik,36,42,49,33,19,46
2010001A14Rik,39,33,27,28,28,43
2010001E11Rik,0,0,0,0,2,0
2010002M12Rik,9,12,17,44,33,51
2010005H15Rik,0,0,0,0,0,0
2010007H06Rik,276,153,268,8,4,16
2010010A06Rik,0,0,0,0,0,1
2010012O05Rik,68,76,53,100,69,94
2010013B24Rik,1,1,2,0,0,0
2010015M23Rik,7,7,9,6,10,5
2010016I18Rik,8373,5664,9430,4093,2776,4475
2010107E04Rik,404,325,454,616,522,590
2010107G12Rik,5,6,8,7,10,8
2010107G23Rik,91,94,123,1,1,0
2010109A12Rik,2,9,9,9,3,4
2010109I03Rik,53,40,85,2,0,2
2010110E17Rik,1,1,0,0,0,0
2010110K18Rik,2,1,1,1,0,0
2010111I01Rik,758,619,768,604,569,540
2010204K13Rik,12,10,9,21,20,14
2010300C02Rik,69,78,86,19,13,23
2010300F17Rik,2,1,0,1,0,0
2010308F09Rik,0,0,0,0,1,0
2010310C07Rik,0,0,1,0,0,1
2010315B03Rik,463,402,537,514,392,548
2010320M18Rik,41,38,32,61,45,57
2200002D01Rik,21,14,24,16,17,16
2210008F06Rik,0,1,2,0,1,1
2210010C04Rik,0,1,3,1,3,1
2210011C24Rik,9,5,7,0,0,0
2210013O21Rik,202,219,248,104,105,101
2210015D19Rik,182,129,169,270,226,250
2210016F16Rik,769,635,746,642,536,612
2210016L21Rik,590,501,598,625,465,554
2210018M11Rik,1884,1675,1888,1735,1542,1755
2210404O09Rik,278,240,293,231,183,200
2210406O10Rik,3,0,1,3,2,2
2210408F21Rik,21,8,13,0,0,0
2210408I21Rik,33,47,40,26,6,17
2210411M09Rik,0,0,0,0,0,0
2210414B05Rik,0,0,0,0,0,0
2210417A02Rik,21,19,25,2,0,2
2300005B03Rik,0,0,0,0,1,0
2300009A05Rik,104,96,117,206,186,191
2310001H17Rik,1882,1429,1962,252,250,304
2310001K24Rik,0,0,0,0,0,0
2310002F09Rik,4,2,5,6,4,3
2310003H01Rik,397,387,446,497,451,493
2310007L24Rik,0,0,0,1,1,0
2310009A05Rik,152,111,165,180,122,161
2310009B15Rik,40,34,36,49,47,66
2310010G23Rik,3,5,3,3,2,1
2310010J17Rik,21,25,33,43,44,42
2310011J03Rik,473,370,440,581,433,525
2310014F06Rik,0,0,0,0,0,0
2310015A10Rik,1083,1114,1440,170,129,211
2310015D24Rik,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0
2310016D23Rik,18,11,11,16,8,20
2310022A10Rik,512,449,531,618,466,552
2310022B05Rik,424,415,450,266,255,246
2310026I22Rik,0,0,3,2,2,4
2310026L22Rik,0,1,0,0,1,1
2310030G06Rik,0,0,0,0,0,0
2310031A07Rik,14,22,21,7,5,7
2310033P09Rik,363,340,369,431,396,403
2310034G01Rik,0,2,1,2,1,4
2310035C23Rik,1985,1834,2052,1918,1828,2030
2310036O22Rik,1771,1500,1734,1901,1634,1782
2310039H08Rik,56,47,71,159,89,137
2310040G24Rik,0,0,0,2,2,3
2310043L19Rik,21,2,18,0,0,0
2310043M15Rik,3,2,2,4,0,4
2310043O21Rik,1,0,1,2,0,0
2310044K18Rik,5,4,13,7,9,10
2310045N01Rik,687,584,734,753,539,759
2310047D07Rik,1,0,1,1,1,6
2310047M10Rik,352,302,307,271,218,225
2310057M21Rik,193,196,199,254,189,236
2310058D17Rik,30,26,40,58,35,71
2310061I04Rik,506,458,542,626,511,537
2310067B10Rik,2574,2398,2815,1879,1570,2019
2310068J16Rik,2,0,1,0,1,1
2310069G16Rik,0,1,0,0,0,0
2310075C17Rik,0,0,0,0,0,0
2410002F23Rik,924,867,1006,1472,1346,1446
2410003L11Rik,6,6,7,15,7,14
2410004B18Rik,297,243,302,387,347,345
2410004P03Rik,10,7,13,2,4,6
2410006H16Rik,694,614,703,1240,969,1040
2410012M07Rik,0,0,0,0,0,0
2410015M20Rik,493,406,484,651,509,587
2410016O06Rik,343,292,355,489,363,473
2410017I17Rik,1,1,0,0,0,0
2410018L13Rik,17,26,31,2,2,2
2410022M11Rik,73,82,105,57,58,61
2410080I02Rik,0,0,0,0,0,0
2410089E03Rik,1089,930,1134,957,994,1057
2410127L17Rik,66,45,64,55,58,78
2410131K14Rik,427,382,438,600,527,662
2500002B13Rik,13,5,15,11,8,15
2500004C02Rik,44,32,51,23,13,31
2510002D24Rik,450,455,555,623,541,653
2510009E07Rik,154,198,176,177,116,167
2510039O18Rik,1608,1297,1474,1824,1535,1776
2510046G10Rik,17,9,11,41,36,39
2600006K01Rik,0,0,0,0,0,0
2600014E21Rik,0,0,0,0,0,0
2610001J05Rik,425,333,439,447,327,385
2610002J02Rik,825,675,872,814,677,834
2610002M06Rik,801,738,834,887,747,865
2610005L07Rik,94,104,67,82,83,96
2610008E11Rik,792,833,952,671,629,709
2610015P09Rik,228,188,246,158,141,149
2610016A17Rik,0,0,0,0,0,0
2610020C07Rik,5,8,15,6,1,14
2610020H08Rik,342,347,410,659,656,694
2610021A01Rik,578,549,677,585,461,546
2610024D14Rik,3,2,2,3,0,6
2610027K06Rik,0,0,0,0,0,0
2610034B18Rik,0,1,0,0,0,0
2610035D17Rik,611,619,811,398,367,508
2610037D02Rik,42,51,61,64,53,73
2610042L04Rik,18,43,14,0,0,0
2610044O15Rik8,325,272,352,336,287,359
2610203C22Rik,0,0,0,0,0,0
2610204G07Rik,193,176,255,3,2,6
2610206C17Rik,4,2,3,1,2,0
2610301B20Rik,315,228,326,115,116,119
2610305D13Rik,1,1,0,0,0,0
2610306M01Rik,31,20,31,24,23,44
2610307P16Rik,2,5,3,5,4,6
2610318N02Rik,32,27,37,18,14,32
2610507B11Rik,4768,4417,5016,6281,5681,6315
2610507I01Rik,129,106,116,173,161,206
2610509F24Rik,1,0,1,2,8,10
2610524H06Rik,121,115,127,106,69,88
2610528A11Rik,0,3,1,2,0,0
2700012I20Rik,5,3,5,4,5,5
2700016F22Rik,3,2,4,2,6,1
2700029M09Rik,535,438,576,541,483,514
2700038G22Rik,16,24,21,33,35,36
2700046G09Rik,6,5,4,17,17,17
2700049A03Rik,333,288,350,385,331,446
2700060E02Rik,942,834,968,1086,796,1041
2700062C07Rik,194,209,247,213,171,199
2700068H02Rik,1,0,0,0,0,2
2700078F05Rik,0,0,0,0,0,0
2700081O15Rik,35,18,35,21,10,11
2700094K13Rik,192,156,207,324,281,301
2700097O09Rik,368,277,370,253,269,236
2700099C18Rik,34,42,56,37,29,30
2810001G20Rik,59,52,73,246,194,272
2810002D19Rik,42,41,60,49,46,66
2810004N23Rik,294,240,296,451,382,494
2810006K23Rik,135,129,198,148,141,157
2810013P06Rik,224,209,233,490,393,454
2810021J22Rik,389,398,439,458,423,448
2810025M15Rik,0,0,1,0,0,1
2810029C07Rik,15,14,11,9,8,7
2810030D12Rik,1,0,1,0,0,0
2810032G03Rik,0,0,0,0,0,0
2810039B14Rik,149,94,149,30,31,41
2810402E24Rik,88,78,84,82,82,115
2810403A07Rik,2110,1908,2297,2470,2216,2466
2810403D21Rik,32,25,33,40,22,38
2810404F17Rik,0,0,0,0,0,0
2810405F17Rik,9,7,9,12,12,11
2810407A14Rik,0,0,1,0,0,0
2810408A11Rik,21,27,25,77,51,65
2810408I11Rik,6,3,3,23,16,14
2810410L24Rik,0,2,0,12,7,9
2810414N06Rik,3,7,2,3,2,3
2810417H13Rik,31,35,61,0,5,6
2810425M01Rik,0,0,0,0,1,0
2810428I15Rik,322,271,341,406,306,363
2810429I04Rik,45,50,62,8,8,5
2810433D01Rik,0,0,0,0,0,0
2810442N19Rik,0,1,0,0,0,0
2810454H06Rik,40,60,80,50,74,100
2810455O05Rik,40,31,52,37,48,33
2810459M11Rik,0,2,0,1,0,1
2810468N07Rik,30,11,19,2,1,0
2810474O19Rik,3263,2689,3076,3595,2666,3097
2900005J15Rik,71,80,83,131,95,120
2900009J06Rik,0,1,0,0,0,0
2900011O08Rik,0,0,0,0,1,0
2900018N21Rik,0,0,0,0,0,0
2900026A02Rik,319,303,347,2,2,5
2900041M22Rik,7,7,5,4,5,6
2900052L18Rik,0,0,0,0,0,0
2900052N01Rik,0,1,0,0,0,0
2900055J20Rik,0,1,0,0,0,0
2900076A07Rik,118,110,196,126,106,117
2900079G21Rik,0,0,0,1,0,0
2900089D17Rik,8,9,11,9,5,7
2900092O11Rik,0,0,0,0,0,0
2900093K20Rik,6,6,5,20,10,18
2900097C17Rik,142,122,120,140,146,151
3000002C10Rik,42,36,61,38,40,57
3010001F23Rik,0,0,0,1,4,1
3010003L21Rik,3,13,6,6,3,6
3010026O09Rik,61,54,67,48,31,44
3110001I22Rik,98,107,128,157,130,168
3110002H16Rik,1412,1410,1479,2152,2042,2223
3110009E18Rik,40,31,44,74,52,83
3110021A11Rik,0,0,0,0,0,0
3110040N11Rik,280,204,267,323,209,287
3110043O21Rik,349,268,328,259,255,240
3110045C21Rik,0,0,0,0,1,1
3110052M02Rik,201,178,195,202,181,205
3110053B16Rik,92,74,68,84,66,71
3110056K07Rik,152,123,147,243,208,206
3110057O12Rik,219,251,245,241,224,264
3110062G12Rik,1,3,1,0,1,1
3110062M04Rik,197,167,243,146,109,167
3110067C02Rik,3,2,7,1,0,1
3110070M22Rik,5,7,5,5,5,6
3110079O15Rik,3,0,0,2,0,0
3110080O07Rik,0,0,0,0,0,0
3110082I17Rik,33,21,25,26,27,29
3110083C13Rik,2,4,9,3,3,7
3222401L13Rik,7,12,15,17,5,7
3300002I08Rik,37,38,46,52,33,34
3300005D01Rik,0,1,2,7,10,13
3425401B19Rik,5,1,4,0,0,0
3632451O06Rik,0,0,0,0,0,0
3632454L22Rik,0,0,1,0,0,0
3830403N18Rik,15,26,7,1,19,29
3830406C13Rik,491,430,523,246,222,268
3830408C21Rik,6,7,8,5,6,6
3830432H09Rik,1,0,0,0,0,0
3930402G23Rik,0,0,0,0,0,0
4430402I18Rik,1,3,5,3,3,0
4631405J19Rik,2,0,2,2,1,2
4632404H12Rik,217,196,264,530,438,658
4632411P08Rik,5,0,1,3,4,2
4632415L05Rik,345,290,399,399,359,459
4632427E13Rik,56,64,79,53,51,66
4632428C04Rik,6,2,2,0,1,0
4632428N05Rik,8092,6365,8358,7147,6410,7191
4632433K11Rik,76,54,75,82,54,60
4731419I09Rik,0,0,0,0,0,0
4732414G09Rik,1,0,2,0,0,0
4732419C18Rik,3,0,5,1,2,0
4732440D04Rik,97,71,112,130,78,112
4732456N10Rik,0,0,0,0,0,0
4732463B04Rik,0,0,0,0,0,0
4732465J04Rik,18,6,9,4,12,5
4732471J01Rik,7,8,9,10,14,10
4732487G21Rik,0,0,0,2,2,1
4732490B19Rik,8,8,10,5,3,5
4732491K20Rik,12,13,19,2,6,2
4831440E17Rik,4,5,5,17,9,23
4833407H14Rik,128,79,100,20,6,17
4833412C05Rik,2,0,1,0,0,0
4833412K13Rik,18,10,13,4,13,14
4833413E03Rik,0,1,2,3,5,4
4833417C18Rik,4,10,9,15,18,23
4833418N02Rik,13,17,12,42,28,31
4833420G17Rik,2042,2026,2225,2272,2200,2314
4833421G17Rik,0,1,0,0,0,1
4833422C13Rik,2,3,0,0,0,0
4833422M21Rik,0,0,0,0,1,1
4833423E24Rik,0,0,0,0,0,0
4833428L15Rik,0,0,0,0,0,0
4833439L19Rik,1180,1016,1176,1017,923,965
4833445I07Rik,17,18,17,16,14,13
4921504A21Rik,0,1,0,0,0,0
4921504E06Rik,0,0,0,1,0,0
4921507L20Rik,0,0,0,0,0,0
4921507P07Rik,26,25,22,56,54,52
4921508D12Rik,0,0,0,0,0,0
4921508M14Rik,0,0,0,0,0,0
4921513D11Rik,2,1,2,1,1,0
4921513I03Rik,0,0,0,0,0,0
4921514A10Rik,0,1,0,1,0,0
4921517D22Rik,0,0,1,3,10,4
4921518K17Rik,0,0,1,0,0,0
4921522P10Rik,0,0,0,0,0,0
4921523L03Rik,0,0,0,0,0,1
4921524J17Rik,392,345,416,260,232,278
4921528I07Rik,0,0,0,0,0,0
4921531C22Rik,35,29,41,39,31,35
4921536K21Rik,4,2,4,0,1,0
4922502D21Rik,1,0,0,0,0,0
4930402F06Rik,0,0,0,0,0,0
4930402H24Rik,831,745,896,617,570,650
4930403O15Rik,0,0,0,0,0,1
4930403P22Rik,0,3,0,0,0,1
4930404H24Rik,1,0,0,0,0,0
4930404I05Rik,1,0,0,0,0,1
4930404N11Rik,24,22,28,32,44,40
4930405A21Rik,7,14,15,6,7,19
4930405O22Rik,2,0,1,2,1,2
4930407I10Rik,0,0,0,0,0,0
4930412C18Rik,0,0,0,0,0,0
4930412F09Rik,0,0,0,1,0,0
4930412L05Rik,1,1,0,0,2,1
4930412M03Rik,16,6,16,16,6,14
4930412O13Rik,4,6,9,2,0,1
4930415F15Rik,3,7,7,7,7,8
4930415O20Rik,0,0,0,1,0,0
4930417H01Rik,1,2,0,0,0,1
4930422M22Rik,0,0,0,0,0,0
4930423C22Rik,0,0,0,0,0,0
4930426D05Rik,0,0,0,3,1,0
4930426I24Rik,1,0,2,0,0,1
4930426L09Rik,21,24,33,28,52,45
4930427A07Rik,156,120,110,97,96,98
4930428N03Rik,0,0,0,0,0,0
4930429F24Rik,4,8,9,6,11,10
4930430E12Rik,0,0,0,0,0,0
4930430F08Rik,129,106,147,136,91,125
4930431P03Rik,882,771,1145,44,32,54
4930432B10Rik,0,0,0,1,1,0
4930432E11Rik,0,0,0,0,0,0
4930432K21Rik,20,23,23,66,58,56
4930432L08Rik,0,0,0,0,0,0
4930433N12Rik,0,0,0,0,0,0
4930435H24Rik,0,0,0,0,0,0
4930438A08Rik,0,0,0,0,0,0
4930439D14Rik,2,5,4,3,3,4
4930440I19Rik,0,0,0,0,0,0
